subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
15, practice, 1, vibration during outcome, 1, 3, 1, 3.jpg, 1.jpg, 0.584847675, 0.167787674, 0.584847675, right, 2, 3, 1, 3.jpg, 1.jpg, 2.716530999983661, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
15, practice, 1, vibration during outcome, 2, 1, 2, 1.jpg, 2.jpg, 0.176264347, 0.355471562, 0.355471562, left, 1, 2, 1, 2.jpg, 1.jpg, 1.2523646999616176, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
15, practice, 1, vibration during outcome, 3, 3, 2, 3.jpg, 2.jpg, 0.578794293, 0.3490424, 0.3490424, left, 1, 2, 3, 2.jpg, 3.jpg, 0.7344805999891832, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
15, practice, 1, vibration during outcome, 4, 1, 4, 1.jpg, 4.jpg, 0.216551625, 0.268568422, 0.216551625, right, 2, 1, 4, 1.jpg, 4.jpg, 1.1597840000176802, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
15, practice, 1, vibration during outcome, 5, 2, 3, 2.jpg, 3.jpg, 0.364707579, 0.582527891, 0.582527891, left, 1, 3, 2, 3.jpg, 2.jpg, 1.3828412999864668, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
15, test, 1, vibration during outcome, 1, 3, 4, 3.jpg, 4.jpg, 0.584847675, 0.302670058, 0.584847675, right, 2, 3, 4, 3.jpg, 4.jpg, 0.9474262000294402, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
15, test, 1, vibration during outcome, 2, 2, 4, 2.jpg, 4.jpg, 0.355471562, 0.290755999, 0.355471562, right, 2, 2, 4, 2.jpg, 4.jpg, 1.2178015999961644, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
15, test, 1, vibration during outcome, 3, 1, 3, 1.jpg, 3.jpg, 0.206677553, 0.578794293, 0.578794293, left, 1, 3, 1, 3.jpg, 1.jpg, 0.6861274000257254, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
15, test, 1, vibration during outcome, 4, 4, 2, 4.jpg, 2.jpg, 0.268568422, 0.358181966, 0.358181966, left, 1, 2, 4, 2.jpg, 4.jpg, 0.4836653999518603, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
15, test, 1, vibration during outcome, 5, 4, 3, 4.jpg, 3.jpg, 0.302042001, 0.582527891, 0.582527891, left, 1, 3, 4, 3.jpg, 4.jpg, 0.5904136999743059, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
15, test, 1, vibration during outcome, 6, 4, 2, 4.jpg, 2.jpg, 0.336540119, 0.3895513, 0.3895513, left, 1, 2, 4, 2.jpg, 4.jpg, 0.578324000001885, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
15, test, 1, vibration during outcome, 7, 2, 1, 2.jpg, 1.jpg, 0.39060737, 0.215508938, 0.215508938, left, 1, 1, 2, 1.jpg, 2.jpg, 0.9161356999538839, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,0,
15, test, 1, vibration during outcome, 8, 2, 3, 2.jpg, 3.jpg, 0.430440014, 0.545053358, 0.545053358, left, 1, 3, 2, 3.jpg, 2.jpg, 1.138501500012353, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
15, test, 1, vibration during outcome, 9, 4, 3, 4.jpg, 3.jpg, 0.365747455, 0.530883085, 0.365747455, right, 2, 4, 3, 4.jpg, 3.jpg, 0.7800722001120448, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,1
15, test, 1, vibration during outcome, 10, 4, 3, 4.jpg, 3.jpg, 0.36426522, 0.507816291, 0.36426522, right, 2, 4, 3, 4.jpg, 3.jpg, 0.5025645999703556, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
15, test, 1, vibration during outcome, 11, 3, 2, 3.jpg, 2.jpg, 0.494989907, 0.489357893, 0.489357893, left, 1, 2, 3, 2.jpg, 3.jpg, 1.0684156999923289, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
15, test, 1, vibration during outcome, 12, 4, 2, 4.jpg, 2.jpg, 0.406276663, 0.484630844, 0.406276663, right, 2, 4, 2, 4.jpg, 2.jpg, 0.8105133000062779, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,1
15, test, 1, vibration during outcome, 13, 3, 1, 3.jpg, 1.jpg, 0.441292304, 0.209829698, 0.209829698, left, 1, 1, 3, 1.jpg, 3.jpg, 1.0544609000207856, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
15, test, 1, vibration during outcome, 14, 1, 2, 1.jpg, 2.jpg, 0.194746258, 0.496165246, 0.194746258, right, 2, 1, 2, 1.jpg, 2.jpg, 0.5108078999910504, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
15, test, 1, vibration during outcome, 15, 3, 2, 3.jpg, 2.jpg, 0.410741903, 0.498060855, 0.498060855, left, 1, 2, 3, 2.jpg, 3.jpg, 0.29926379991229624, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
15, test, 1, vibration during outcome, 16, 1, 2, 1.jpg, 2.jpg, 0.268446939, 0.473753497, 0.473753497, left, 1, 2, 1, 2.jpg, 1.jpg, 0.5074436999857426, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,0,
15, test, 1, vibration during outcome, 17, 3, 1, 3.jpg, 1.jpg, 0.397409959, 0.260713561, 0.397409959, right, 2, 3, 1, 3.jpg, 1.jpg, 1.2033940000692382, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
15, test, 1, vibration during outcome, 18, 3, 1, 3.jpg, 1.jpg, 0.380302803, 0.273570125, 0.273570125, left, 1, 1, 3, 1.jpg, 3.jpg, 0.42298969998955727, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
15, test, 1, vibration during outcome, 19, 2, 1, 2.jpg, 1.jpg, 0.435371131, 0.269452755, 0.435371131, right, 2, 2, 1, 2.jpg, 1.jpg, 0.6633048000512645, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
15, test, 1, vibration during outcome, 20, 2, 4, 2.jpg, 4.jpg, 0.425551488, 0.410963982, 0.410963982, left, 1, 4, 2, 4.jpg, 2.jpg, 0.46086340001784265, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
15, test, 1, vibration during outcome, 21, 1, 4, 1.jpg, 4.jpg, 0.289598518, 0.423231262, 0.289598518, right, 2, 1, 4, 1.jpg, 4.jpg, 0.5261782000306994, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,1
15, test, 1, vibration during outcome, 22, 4, 1, 4.jpg, 1.jpg, 0.389718337, 0.299460569, 0.389718337, right, 2, 4, 1, 4.jpg, 1.jpg, 0.8346470000687987, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
15, test, 1, vibration during outcome, 23, 1, 3, 1.jpg, 3.jpg, 0.275422902, 0.408863932, 0.408863932, left, 1, 3, 1, 3.jpg, 1.jpg, 0.6078341000247747, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
15, test, 1, vibration during outcome, 24, 1, 3, 1.jpg, 3.jpg, 0.266650787, 0.405854252, 0.266650787, right, 2, 1, 3, 1.jpg, 3.jpg, 0.6431067000376061, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,0,
15, test, 1, vibration during outcome, 25, 3, 1, 3.jpg, 1.jpg, 0.425425396, 0.254259812, 0.425425396, right, 2, 3, 1, 3.jpg, 1.jpg, 0.6502217999659479, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,1
15, test, 1, vibration during outcome, 26, 2, 4, 2.jpg, 4.jpg, 0.426705428, 0.389570929, 0.426705428, right, 2, 2, 4, 2.jpg, 4.jpg, 0.5366024000104517, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
15, test, 1, vibration during outcome, 27, 3, 2, 3.jpg, 2.jpg, 0.476699219, 0.434578853, 0.476699219, right, 2, 3, 2, 3.jpg, 2.jpg, 0.5340038000140339, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,0,
15, test, 1, vibration during outcome, 28, 1, 4, 1.jpg, 4.jpg, 0.254900351, 0.358204472, 0.358204472, left, 1, 4, 1, 4.jpg, 1.jpg, 0.6148746000835672, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
15, test, 1, vibration during outcome, 29, 3, 1, 3.jpg, 1.jpg, 0.45401501, 0.270226286, 0.270226286, left, 1, 1, 3, 1.jpg, 3.jpg, 0.8627585000358522, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
15, test, 1, vibration during outcome, 30, 2, 4, 2.jpg, 4.jpg, 0.434793002, 0.36725969, 0.434793002, right, 2, 2, 4, 2.jpg, 4.jpg, 0.5899806000525132, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
15, test, 1, vibration during outcome, 31, 3, 4, 3.jpg, 4.jpg, 0.456731037, 0.401609609, 0.456731037, right, 2, 3, 4, 3.jpg, 4.jpg, 0.5777447000145912, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,1
15, test, 1, vibration during outcome, 32, 3, 4, 3.jpg, 4.jpg, 0.406064085, 0.393803515, 0.406064085, right, 2, 3, 4, 3.jpg, 4.jpg, 0.3727657999843359, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
15, test, 1, vibration during outcome, 33, 3, 4, 3.jpg, 4.jpg, 0.401876712, 0.402704902, 0.401876712, right, 2, 3, 4, 3.jpg, 4.jpg, 0.34043450001627207, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
15, test, 1, vibration during outcome, 34, 4, 2, 4.jpg, 2.jpg, 0.416668377, 0.43001655, 0.416668377, right, 2, 4, 2, 4.jpg, 2.jpg, 0.7179039000766352, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,0,
15, test, 1, vibration during outcome, 35, 1, 3, 1.jpg, 3.jpg, 0.22048214, 0.424862287, 0.424862287, left, 1, 3, 1, 3.jpg, 1.jpg, 0.3589272000826895, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,1
15, test, 1, vibration during outcome, 36, 2, 3, 2.jpg, 3.jpg, 0.447650766, 0.423948221, 0.423948221, left, 1, 3, 2, 3.jpg, 2.jpg, 0.5574362000916153, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
15, test, 1, vibration during outcome, 37, 3, 2, 3.jpg, 2.jpg, 0.43257228, 0.456165741, 0.43257228, right, 2, 3, 2, 3.jpg, 2.jpg, 0.477966699982062, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,1
15, test, 1, vibration during outcome, 38, 2, 4, 2.jpg, 4.jpg, 0.433155402, 0.390289699, 0.390289699, left, 1, 4, 2, 4.jpg, 2.jpg, 0.5456672000000253, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,1
15, test, 1, vibration during outcome, 39, 1, 3, 1.jpg, 3.jpg, 0.214118114, 0.408906602, 0.408906602, left, 1, 3, 1, 3.jpg, 1.jpg, 1.3101621000096202, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,0,
15, test, 1, vibration during outcome, 40, 2, 1, 2.jpg, 1.jpg, 0.447456341, 0.217505069, 0.447456341, right, 2, 2, 1, 2.jpg, 1.jpg, 0.7616909999633208, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
15, test, 1, vibration during outcome, 41, 1, 3, 1.jpg, 3.jpg, 0.249081937, 0.382054645, 0.382054645, left, 1, 3, 1, 3.jpg, 1.jpg, 0.4536002000095323, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,1
15, test, 1, vibration during outcome, 42, 4, 3, 4.jpg, 3.jpg, 0.368787043, 0.383924023, 0.383924023, left, 1, 3, 4, 3.jpg, 4.jpg, 0.7441197000443935, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,1
15, test, 1, vibration during outcome, 43, 1, 4, 1.jpg, 4.jpg, 0.288213763, 0.38383929, 0.288213763, right, 2, 1, 4, 1.jpg, 4.jpg, 0.6033698000246659, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,1
15, test, 1, vibration during outcome, 44, 4, 2, 4.jpg, 2.jpg, 0.362927966, 0.530811847, 0.362927966, right, 2, 4, 2, 4.jpg, 2.jpg, 0.5373900999547914, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,0,
15, test, 1, vibration during outcome, 45, 2, 1, 2.jpg, 1.jpg, 0.512913286, 0.308994906, 0.308994906, left, 1, 1, 2, 1.jpg, 2.jpg, 0.43574580003041774, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
15, test, 1, vibration during outcome, 46, 4, 2, 4.jpg, 2.jpg, 0.368488345, 0.533187647, 0.533187647, left, 1, 2, 4, 2.jpg, 4.jpg, 0.6715388000011444, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
15, test, 1, vibration during outcome, 47, 2, 3, 2.jpg, 3.jpg, 0.537872242, 0.357892701, 0.537872242, right, 2, 2, 3, 2.jpg, 3.jpg, 0.44731469999533147, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,1
15, test, 1, vibration during outcome, 48, 2, 4, 2.jpg, 4.jpg, 0.523160461, 0.356952705, 0.523160461, right, 2, 2, 4, 2.jpg, 4.jpg, 0.39905339991673827, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
15, test, 1, vibration during outcome, 49, 3, 2, 3.jpg, 2.jpg, 0.394241012, 0.527646571, 0.527646571, left, 1, 2, 3, 2.jpg, 3.jpg, 0.4348462000489235, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,1
15, test, 1, vibration during outcome, 50, 2, 3, 2.jpg, 3.jpg, 0.548355336, 0.386662209, 0.386662209, left, 1, 3, 2, 3.jpg, 2.jpg, 0.5389400999993086, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
15, practice, 2, vibration during choice, 1, 1, 3, 5.jpg, 7.jpg, 0.167787674, 0.584847675, 0.167787674, right, 2, 1, 3, 5.jpg, 7.jpg, 1.0609305000398308, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
