subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
16, practice, 1, vibration off, 1, 4, 3, 4.jpg, 3.jpg, 0.466504194, 0.413504079, 0.413504079, left, 1, 3, 4, 3.jpg, 4.jpg, 1.091951800044626, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
16, practice, 1, vibration off, 2, 2, 3, 2.jpg, 3.jpg, 0.631199867, 0.375335495, 0.631199867, right, 2, 2, 3, 2.jpg, 3.jpg, 0.9584582999814302, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
16, practice, 1, vibration off, 3, 4, 2, 4.jpg, 2.jpg, 0.491193418, 0.626315633, 0.626315633, left, 1, 2, 4, 2.jpg, 4.jpg, 0.9265345998574048, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
16, practice, 1, vibration off, 4, 4, 3, 4.jpg, 3.jpg, 0.486122834, 0.371343772, 0.486122834, right, 2, 4, 3, 4.jpg, 3.jpg, 0.8296656999737024, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
16, practice, 1, vibration off, 5, 4, 3, 4.jpg, 3.jpg, 0.463675252, 0.35386843, 0.463675252, right, 2, 4, 3, 4.jpg, 3.jpg, 0.6958739999681711, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
16, test, 1, vibration off, 1, 3, 2, 3.jpg, 2.jpg, 0.413504079, 0.615232533, 0.615232533, left, 1, 2, 3, 2.jpg, 3.jpg, 1.2160238998476416, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
16, test, 1, vibration off, 2, 1, 2, 1.jpg, 2.jpg, 0.517796443, 0.631199867, 0.517796443, right, 2, 1, 2, 1.jpg, 2.jpg, 0.9222968001849949, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
16, test, 1, vibration off, 3, 4, 3, 4.jpg, 3.jpg, 0.491193418, 0.374984468, 0.491193418, right, 2, 4, 3, 4.jpg, 3.jpg, 0.5635027999524027, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
16, test, 1, vibration off, 4, 2, 4, 2.jpg, 4.jpg, 0.609226527, 0.486122834, 0.486122834, left, 1, 4, 2, 4.jpg, 2.jpg, 1.1165887000970542, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
16, test, 1, vibration off, 5, 3, 1, 3.jpg, 1.jpg, 0.35386843, 0.472267853, 0.472267853, left, 1, 1, 3, 1.jpg, 3.jpg, 1.036737099988386, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
16, test, 1, vibration off, 6, 4, 3, 4.jpg, 3.jpg, 0.444784776, 0.353156918, 0.444784776, right, 2, 4, 3, 4.jpg, 3.jpg, 0.8386784000322223, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,0,
16, test, 1, vibration off, 7, 3, 1, 3.jpg, 1.jpg, 0.351148204, 0.498922937, 0.351148204, right, 2, 3, 1, 3.jpg, 1.jpg, 0.9498709999024868, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,0,
16, test, 1, vibration off, 8, 1, 2, 1.jpg, 2.jpg, 0.523305174, 0.661043011, 0.661043011, left, 1, 2, 1, 2.jpg, 1.jpg, 1.0096628000028431, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,0,
16, test, 1, vibration off, 9, 2, 4, 2.jpg, 4.jpg, 0.617130773, 0.477824508, 0.477824508, left, 1, 4, 2, 4.jpg, 2.jpg, 1.4272517000790685, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,0,
16, test, 1, vibration off, 10, 1, 3, 1.jpg, 3.jpg, 0.538742055, 0.400369013, 0.400369013, left, 1, 3, 1, 3.jpg, 1.jpg, 1.269843699876219, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,0,
16, test, 1, vibration off, 11, 3, 2, 3.jpg, 2.jpg, 0.389573429, 0.627053837, 0.627053837, left, 1, 2, 3, 2.jpg, 3.jpg, 1.1774992002174258, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,1
16, test, 1, vibration off, 12, 2, 1, 2.jpg, 1.jpg, 0.6084257, 0.58170588, 0.6084257, right, 2, 2, 1, 2.jpg, 1.jpg, 0.6145130000077188, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,1
16, test, 1, vibration off, 13, 1, 3, 1.jpg, 3.jpg, 0.578706679, 0.375355878, 0.578706679, right, 2, 1, 3, 1.jpg, 3.jpg, 1.2473255000077188, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,0,
16, test, 1, vibration off, 14, 1, 4, 1.jpg, 4.jpg, 0.542007718, 0.453322749, 0.453322749, left, 1, 4, 1, 4.jpg, 1.jpg, 0.5710601999890059, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,1
16, test, 1, vibration off, 15, 3, 1, 3.jpg, 1.jpg, 0.398928367, 0.51169699, 0.398928367, right, 2, 3, 1, 3.jpg, 1.jpg, 1.5988721000030637, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,0,
16, test, 1, vibration off, 16, 4, 2, 4.jpg, 2.jpg, 0.445080478, 0.577589974, 0.445080478, right, 2, 4, 2, 4.jpg, 2.jpg, 1.1622163001447916, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,0,
16, test, 1, vibration off, 17, 1, 2, 1.jpg, 2.jpg, 0.513426935, 0.585694186, 0.585694186, left, 1, 2, 1, 2.jpg, 1.jpg, 0.6111789999995381, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,1
16, test, 1, vibration off, 18, 1, 4, 1.jpg, 4.jpg, 0.505704724, 0.418810463, 0.418810463, left, 1, 4, 1, 4.jpg, 1.jpg, 0.8854038999415934, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,1
16, test, 1, vibration off, 19, 4, 2, 4.jpg, 2.jpg, 0.404711898, 0.582335652, 0.582335652, left, 1, 2, 4, 2.jpg, 4.jpg, 1.0332474999595433, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,1
16, test, 1, vibration off, 20, 1, 3, 1.jpg, 3.jpg, 0.511492418, 0.34718102, 0.34718102, left, 1, 3, 1, 3.jpg, 1.jpg, 0.8904663000721484, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,0,
16, test, 1, vibration off, 21, 1, 2, 1.jpg, 2.jpg, 0.512951285, 0.553509108, 0.553509108, left, 1, 2, 1, 2.jpg, 1.jpg, 1.0813003999646753, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,1
16, test, 1, vibration off, 22, 4, 1, 4.jpg, 1.jpg, 0.410726764, 0.539572991, 0.410726764, right, 2, 4, 1, 4.jpg, 1.jpg, 0.561518199974671, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,0,
16, test, 1, vibration off, 23, 4, 3, 4.jpg, 3.jpg, 0.376882621, 0.373035803, 0.376882621, right, 2, 4, 3, 4.jpg, 3.jpg, 1.0998547999188304, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,0,
16, test, 1, vibration off, 24, 3, 2, 3.jpg, 2.jpg, 0.364677663, 0.524393705, 0.364677663, right, 2, 3, 2, 3.jpg, 2.jpg, 0.7033420000225306, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,0,
16, test, 1, vibration off, 25, 4, 2, 4.jpg, 2.jpg, 0.373729847, 0.532040408, 0.532040408, left, 1, 2, 4, 2.jpg, 4.jpg, 0.8524421998299658, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,0,
16, test, 1, vibration off, 26, 4, 1, 4.jpg, 1.jpg, 0.398780507, 0.536918816, 0.536918816, left, 1, 1, 4, 1.jpg, 4.jpg, 1.547032100148499, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,1
16, test, 1, vibration off, 27, 1, 4, 1.jpg, 4.jpg, 0.541079589, 0.405865749, 0.541079589, right, 2, 1, 4, 1.jpg, 4.jpg, 0.7348068999126554, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,0,
16, test, 1, vibration off, 28, 4, 2, 4.jpg, 2.jpg, 0.403418308, 0.570750529, 0.570750529, left, 1, 2, 4, 2.jpg, 4.jpg, 0.9682536001782864, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,0,
16, test, 1, vibration off, 29, 4, 2, 4.jpg, 2.jpg, 0.398536524, 0.54476025, 0.54476025, left, 1, 2, 4, 2.jpg, 4.jpg, 1.2085646002087742, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,1
16, test, 1, vibration off, 30, 3, 4, 3.jpg, 4.jpg, 0.406860111, 0.407780991, 0.406860111, right, 2, 3, 4, 3.jpg, 4.jpg, 1.2874801999423653, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,1
16, test, 1, vibration off, 31, 1, 4, 1.jpg, 4.jpg, 0.557017169, 0.40633374, 0.40633374, left, 1, 4, 1, 4.jpg, 1.jpg, 1.1940973999444395, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,0,
16, test, 1, vibration off, 32, 2, 1, 2.jpg, 1.jpg, 0.562455492, 0.587964414, 0.562455492, right, 2, 2, 1, 2.jpg, 1.jpg, 1.1047175999265164, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,1
16, test, 1, vibration off, 33, 1, 4, 1.jpg, 4.jpg, 0.569423526, 0.469700007, 0.569423526, right, 2, 1, 4, 1.jpg, 4.jpg, 0.7553445000667125, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,1
16, test, 1, vibration off, 34, 2, 1, 2.jpg, 1.jpg, 0.565200904, 0.56834307, 0.565200904, right, 2, 2, 1, 2.jpg, 1.jpg, 1.8265325999818742, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,0,
16, test, 1, vibration off, 35, 4, 2, 4.jpg, 2.jpg, 0.497188985, 0.567372701, 0.567372701, left, 1, 2, 4, 2.jpg, 4.jpg, 1.4186493000015616, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,1
16, test, 1, vibration off, 36, 4, 1, 4.jpg, 1.jpg, 0.476236411, 0.614921267, 0.614921267, left, 1, 1, 4, 1.jpg, 4.jpg, 0.6120500999968499, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,0,
16, test, 1, vibration off, 37, 2, 4, 2.jpg, 4.jpg, 0.545721743, 0.509842719, 0.545721743, right, 2, 2, 4, 2.jpg, 4.jpg, 0.9672020999714732, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,1
16, test, 1, vibration off, 38, 4, 1, 4.jpg, 1.jpg, 0.530542784, 0.631242143, 0.631242143, left, 1, 1, 4, 1.jpg, 4.jpg, 0.5837723000440747, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,0,
16, test, 1, vibration off, 39, 2, 4, 2.jpg, 4.jpg, 0.562917382, 0.525341883, 0.562917382, right, 2, 2, 4, 2.jpg, 4.jpg, 0.9930170001462102, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,0,
16, test, 1, vibration off, 40, 3, 2, 3.jpg, 2.jpg, 0.340254534, 0.574174471, 0.340254534, right, 2, 3, 2, 3.jpg, 2.jpg, 0.7011545000132173, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,0,
16, test, 1, vibration off, 41, 4, 3, 4.jpg, 3.jpg, 0.531828439, 0.358175358, 0.358175358, left, 1, 3, 4, 3.jpg, 4.jpg, 0.9871016000397503, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,1
16, test, 1, vibration off, 42, 4, 3, 4.jpg, 3.jpg, 0.522351056, 0.366861123, 0.366861123, left, 1, 3, 4, 3.jpg, 4.jpg, 0.7745288000442088, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,0,
16, test, 1, vibration off, 43, 2, 3, 2.jpg, 3.jpg, 0.572586617, 0.357029746, 0.572586617, right, 2, 2, 3, 2.jpg, 3.jpg, 0.9554494000039995, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,0,
16, test, 1, vibration off, 44, 1, 3, 1.jpg, 3.jpg, 0.636994371, 0.384631609, 0.384631609, left, 1, 3, 1, 3.jpg, 1.jpg, 1.7529559000395238, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,0,
16, test, 1, vibration off, 45, 2, 3, 2.jpg, 3.jpg, 0.5781911, 0.386636695, 0.5781911, right, 2, 2, 3, 2.jpg, 3.jpg, 1.0946154000703245, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,1
16, test, 1, vibration off, 46, 3, 4, 3.jpg, 4.jpg, 0.376640317, 0.575008411, 0.575008411, left, 1, 4, 3, 4.jpg, 3.jpg, 1.3715888999868184, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,0,
16, test, 1, vibration off, 47, 4, 3, 4.jpg, 3.jpg, 0.546233567, 0.329837755, 0.546233567, right, 2, 4, 3, 4.jpg, 3.jpg, 0.6562007998581976, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,0,
16, test, 1, vibration off, 48, 3, 2, 3.jpg, 2.jpg, 0.322472207, 0.601875425, 0.601875425, left, 1, 2, 3, 2.jpg, 3.jpg, 1.146645599976182, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,0,
16, test, 1, vibration off, 49, 3, 2, 3.jpg, 2.jpg, 0.298351175, 0.595767883, 0.298351175, right, 2, 3, 2, 3.jpg, 2.jpg, 0.6626085001043975, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,1
16, test, 1, vibration off, 50, 2, 4, 2.jpg, 4.jpg, 0.596690297, 0.528689445, 0.596690297, right, 2, 2, 4, 2.jpg, 4.jpg, 0.8438273998908699, 1, 0.585330427, 0.596690297, 0.304980312, 0.528689445,0,
16, practice, 2, vibration during choice, 1, 2, 3, 10.jpg, 11.jpg, 0.615232533, 0.413504079, 0.413504079, left, 1, 3, 2, 11.jpg, 10.jpg, 1.7449807999655604, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
16, practice, 2, vibration during choice, 2, 3, 4, 11.jpg, 12.jpg, 0.375335495, 0.47234587, 0.47234587, left, 1, 4, 3, 12.jpg, 11.jpg, 1.320037900004536, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
16, practice, 2, vibration during choice, 3, 3, 4, 11.jpg, 12.jpg, 0.374984468, 0.491193418, 0.374984468, right, 2, 3, 4, 11.jpg, 12.jpg, 1.3069452000781894, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
16, practice, 2, vibration during choice, 4, 3, 2, 11.jpg, 10.jpg, 0.371343772, 0.609226527, 0.609226527, left, 1, 2, 3, 10.jpg, 11.jpg, 1.5199303000699729, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
16, practice, 2, vibration during choice, 5, 1, 2, 9.jpg, 10.jpg, 0.472267853, 0.620106582, 0.620106582, left, 1, 2, 1, 10.jpg, 9.jpg, 1.641511800000444, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
16, test, 2, vibration during choice, 1, 3, 2, 11.jpg, 10.jpg, 0.413504079, 0.615232533, 0.615232533, left, 1, 2, 3, 10.jpg, 11.jpg, 1.0472354998346418, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
16, test, 2, vibration during choice, 2, 4, 1, 12.jpg, 9.jpg, 0.47234587, 0.517796443, 0.517796443, left, 1, 1, 4, 9.jpg, 12.jpg, 1.1949890998657793, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
16, test, 2, vibration during choice, 3, 3, 2, 11.jpg, 10.jpg, 0.374984468, 0.626315633, 0.626315633, left, 1, 2, 3, 10.jpg, 11.jpg, 0.8151110999751836, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
16, test, 2, vibration during choice, 4, 1, 2, 9.jpg, 10.jpg, 0.498193315, 0.609226527, 0.498193315, right, 2, 1, 2, 9.jpg, 10.jpg, 0.7124276000540704, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
16, test, 2, vibration during choice, 5, 1, 4, 9.jpg, 12.jpg, 0.472267853, 0.463675252, 0.472267853, right, 2, 1, 4, 9.jpg, 12.jpg, 1.5225511000026017, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
16, test, 2, vibration during choice, 6, 1, 2, 9.jpg, 10.jpg, 0.48900464, 0.609411022, 0.609411022, left, 1, 2, 1, 10.jpg, 9.jpg, 1.014560499927029, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,1
16, test, 2, vibration during choice, 7, 2, 1, 10.jpg, 9.jpg, 0.661106815, 0.498922937, 0.661106815, right, 2, 2, 1, 10.jpg, 9.jpg, 1.1999667000491172, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,1
16, test, 2, vibration during choice, 8, 2, 3, 10.jpg, 11.jpg, 0.661043011, 0.385479761, 0.661043011, right, 2, 2, 3, 10.jpg, 11.jpg, 1.3679822001140565, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,1
16, test, 2, vibration during choice, 9, 3, 4, 11.jpg, 12.jpg, 0.38403906, 0.477824508, 0.477824508, left, 1, 4, 3, 12.jpg, 11.jpg, 1.4746960001066327, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,1
16, test, 2, vibration during choice, 10, 3, 1, 11.jpg, 9.jpg, 0.400369013, 0.538742055, 0.538742055, left, 1, 1, 3, 9.jpg, 11.jpg, 1.2142560000065714, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,1
16, test, 2, vibration during choice, 11, 3, 1, 11.jpg, 9.jpg, 0.389573429, 0.576408806, 0.576408806, left, 1, 1, 3, 9.jpg, 11.jpg, 1.1890559999737889, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,0,
16, test, 2, vibration during choice, 12, 2, 1, 10.jpg, 9.jpg, 0.6084257, 0.58170588, 0.6084257, right, 2, 2, 1, 10.jpg, 9.jpg, 0.8753064000047743, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,1
16, test, 2, vibration during choice, 13, 1, 2, 9.jpg, 10.jpg, 0.578706679, 0.597368238, 0.597368238, left, 1, 2, 1, 10.jpg, 9.jpg, 1.2631641998887062, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,0,
16, test, 2, vibration during choice, 14, 4, 3, 12.jpg, 11.jpg, 0.453322749, 0.38842331, 0.453322749, right, 2, 4, 3, 12.jpg, 11.jpg, 1.1053794000763446, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,0,
16, test, 2, vibration during choice, 15, 1, 2, 9.jpg, 10.jpg, 0.51169699, 0.59667375, 0.59667375, left, 1, 2, 1, 10.jpg, 9.jpg, 0.842927300138399, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,0,
16, test, 2, vibration during choice, 16, 4, 1, 12.jpg, 9.jpg, 0.445080478, 0.513158928, 0.445080478, right, 2, 4, 1, 12.jpg, 9.jpg, 1.4355993999633938, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,1
16, test, 2, vibration during choice, 17, 4, 3, 12.jpg, 11.jpg, 0.422775713, 0.379887863, 0.422775713, right, 2, 4, 3, 12.jpg, 11.jpg, 1.2140687999781221, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
16, test, 2, vibration during choice, 18, 2, 4, 10.jpg, 12.jpg, 0.54789599, 0.418810463, 0.54789599, right, 2, 2, 4, 10.jpg, 12.jpg, 1.091107300017029, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,1
16, test, 2, vibration during choice, 19, 3, 1, 11.jpg, 9.jpg, 0.369915918, 0.504573157, 0.504573157, left, 1, 1, 3, 9.jpg, 11.jpg, 0.9030079001095146, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,1
16, test, 2, vibration during choice, 20, 3, 2, 11.jpg, 10.jpg, 0.34718102, 0.588279021, 0.588279021, left, 1, 2, 3, 10.jpg, 11.jpg, 0.6920376000925899, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,0,
16, test, 2, vibration during choice, 21, 1, 4, 9.jpg, 12.jpg, 0.512951285, 0.420212923, 0.512951285, right, 2, 1, 4, 9.jpg, 12.jpg, 1.0318265000823885, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,0,
16, test, 2, vibration during choice, 22, 2, 1, 10.jpg, 9.jpg, 0.552815737, 0.539572991, 0.552815737, right, 2, 2, 1, 10.jpg, 9.jpg, 0.9069477999582887, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,0,
16, test, 2, vibration during choice, 23, 2, 4, 10.jpg, 12.jpg, 0.535255398, 0.376882621, 0.376882621, left, 1, 4, 2, 12.jpg, 10.jpg, 1.6083882998209447, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,0,
16, test, 2, vibration during choice, 24, 1, 3, 9.jpg, 11.jpg, 0.575401102, 0.364677663, 0.364677663, left, 1, 3, 1, 11.jpg, 9.jpg, 1.7101580000016838, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,0,
16, test, 2, vibration during choice, 25, 4, 2, 12.jpg, 10.jpg, 0.373729847, 0.532040408, 0.532040408, left, 1, 2, 4, 10.jpg, 12.jpg, 0.7302043999079615, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,0,
16, test, 2, vibration during choice, 26, 4, 3, 12.jpg, 11.jpg, 0.398780507, 0.371897574, 0.398780507, right, 2, 4, 3, 12.jpg, 11.jpg, 0.8533766001928598, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,0,
16, test, 2, vibration during choice, 27, 2, 3, 10.jpg, 11.jpg, 0.54671574, 0.389383809, 0.54671574, right, 2, 2, 3, 10.jpg, 11.jpg, 1.1031748000532389, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,1
16, test, 2, vibration during choice, 28, 2, 1, 10.jpg, 9.jpg, 0.570750529, 0.559641612, 0.570750529, right, 2, 2, 1, 10.jpg, 9.jpg, 1.24231670005247, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,0,
16, test, 2, vibration during choice, 29, 4, 1, 12.jpg, 9.jpg, 0.398536524, 0.566867971, 0.398536524, right, 2, 4, 1, 12.jpg, 9.jpg, 1.338289000093937, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,1
16, test, 2, vibration during choice, 30, 2, 1, 10.jpg, 9.jpg, 0.559260499, 0.562069061, 0.559260499, right, 2, 2, 1, 10.jpg, 9.jpg, 1.1077010999433696, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,0,
16, test, 2, vibration during choice, 31, 2, 1, 10.jpg, 9.jpg, 0.570453061, 0.557017169, 0.557017169, left, 1, 1, 2, 9.jpg, 10.jpg, 0.9582773998845369, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,1
16, test, 2, vibration during choice, 32, 3, 4, 11.jpg, 12.jpg, 0.364845558, 0.430319959, 0.430319959, left, 1, 4, 3, 12.jpg, 11.jpg, 1.6390001999679953, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,0,
16, test, 2, vibration during choice, 33, 4, 2, 12.jpg, 10.jpg, 0.469700007, 0.583546956, 0.583546956, left, 1, 2, 4, 10.jpg, 12.jpg, 1.6205314001999795, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,0,
16, test, 2, vibration during choice, 34, 3, 2, 11.jpg, 10.jpg, 0.411760625, 0.565200904, 0.411760625, right, 2, 3, 2, 11.jpg, 10.jpg, 1.6851997000630945, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,0,
16, test, 2, vibration during choice, 35, 1, 2, 9.jpg, 10.jpg, 0.599079702, 0.567372701, 0.567372701, left, 1, 2, 1, 10.jpg, 9.jpg, 1.074038099963218, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,0,
16, test, 2, vibration during choice, 36, 1, 3, 9.jpg, 11.jpg, 0.614921267, 0.380656038, 0.614921267, right, 2, 1, 3, 9.jpg, 11.jpg, 0.513085599988699, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,1
16, test, 2, vibration during choice, 37, 4, 2, 12.jpg, 10.jpg, 0.509842719, 0.545721743, 0.545721743, left, 1, 2, 4, 10.jpg, 12.jpg, 0.9318663999438286, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,1
16, test, 2, vibration during choice, 38, 2, 4, 10.jpg, 12.jpg, 0.538071442, 0.530542784, 0.538071442, right, 2, 2, 4, 10.jpg, 12.jpg, 1.4472372001037002, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,0,
16, test, 2, vibration during choice, 39, 4, 2, 12.jpg, 10.jpg, 0.525341883, 0.562917382, 0.562917382, left, 1, 2, 4, 10.jpg, 12.jpg, 1.3623069999739528, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,1
16, test, 2, vibration during choice, 40, 2, 3, 10.jpg, 11.jpg, 0.574174471, 0.340254534, 0.574174471, right, 2, 2, 3, 10.jpg, 11.jpg, 1.5299999001435935, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,1
16, test, 2, vibration during choice, 41, 2, 1, 10.jpg, 9.jpg, 0.580661228, 0.60144404, 0.60144404, left, 1, 1, 2, 9.jpg, 10.jpg, 1.0292751998640597, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,1
16, test, 2, vibration during choice, 42, 2, 1, 10.jpg, 9.jpg, 0.582970551, 0.630195312, 0.630195312, left, 1, 1, 2, 9.jpg, 10.jpg, 0.6542293999809772, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,1
16, test, 2, vibration during choice, 43, 4, 3, 12.jpg, 11.jpg, 0.532129282, 0.357029746, 0.357029746, left, 1, 3, 4, 11.jpg, 12.jpg, 1.3069611999671906, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,0,
16, test, 2, vibration during choice, 44, 1, 4, 9.jpg, 12.jpg, 0.636994371, 0.54344664, 0.636994371, right, 2, 1, 4, 9.jpg, 12.jpg, 0.8931282998528332, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,1
16, test, 2, vibration during choice, 45, 2, 3, 10.jpg, 11.jpg, 0.5781911, 0.386636695, 0.5781911, right, 2, 2, 3, 10.jpg, 11.jpg, 0.6604430999141186, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,1
16, test, 2, vibration during choice, 46, 3, 2, 11.jpg, 10.jpg, 0.376640317, 0.554193525, 0.554193525, left, 1, 2, 3, 10.jpg, 11.jpg, 0.7200212001334876, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,0,
16, test, 2, vibration during choice, 47, 2, 3, 10.jpg, 11.jpg, 0.585886385, 0.329837755, 0.585886385, right, 2, 2, 3, 10.jpg, 11.jpg, 1.0148883999790996, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,0,
16, test, 2, vibration during choice, 48, 3, 4, 11.jpg, 12.jpg, 0.322472207, 0.544792119, 0.544792119, left, 1, 4, 3, 12.jpg, 11.jpg, 1.175051299855113, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,1
16, test, 2, vibration during choice, 49, 4, 3, 12.jpg, 11.jpg, 0.559135463, 0.298351175, 0.559135463, right, 2, 4, 3, 12.jpg, 11.jpg, 0.5906519999261945, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,1
16, test, 2, vibration during choice, 50, 4, 3, 12.jpg, 11.jpg, 0.528689445, 0.304980312, 0.528689445, right, 2, 4, 3, 12.jpg, 11.jpg, 0.5193864998873323, 1, 0.585330427, 0.596690297, 0.304980312, 0.528689445,1
