subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
2, practice, 1, vibration during outcome, 1, 3, 2, 11.jpg, 10.jpg, 0.584847675, 0.332201416, 0.332201416, left, 1, 2, 3, 10.jpg, 11.jpg, 0.6542503999953624, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
2, practice, 1, vibration during outcome, 2, 2, 3, 10.jpg, 11.jpg, 0.355471562, 0.582595424, 0.355471562, right, 2, 2, 3, 10.jpg, 11.jpg, 1.0590695999853779, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
2, practice, 1, vibration during outcome, 3, 3, 1, 11.jpg, 9.jpg, 0.578794293, 0.206677553, 0.578794293, right, 2, 3, 1, 11.jpg, 9.jpg, 1.0699520999914967, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
2, practice, 1, vibration during outcome, 4, 1, 2, 9.jpg, 10.jpg, 0.216551625, 0.358181966, 0.358181966, left, 1, 2, 1, 10.jpg, 9.jpg, 0.6872156000172254, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
2, practice, 1, vibration during outcome, 5, 1, 3, 9.jpg, 11.jpg, 0.21991786, 0.582527891, 0.21991786, right, 2, 1, 3, 9.jpg, 11.jpg, 0.614510400017025, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
2, test, 1, vibration during outcome, 1, 3, 1, 11.jpg, 9.jpg, 0.584847675, 0.167787674, 0.584847675, right, 2, 3, 1, 11.jpg, 9.jpg, 0.5919614000013098, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
2, test, 1, vibration during outcome, 2, 1, 4, 9.jpg, 12.jpg, 0.176264347, 0.290755999, 0.290755999, left, 1, 4, 1, 12.jpg, 9.jpg, 0.9259914000285789, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
2, test, 1, vibration during outcome, 3, 3, 4, 11.jpg, 12.jpg, 0.578794293, 0.275426328, 0.578794293, right, 2, 3, 4, 11.jpg, 12.jpg, 0.7237657000077888, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
2, test, 1, vibration during outcome, 4, 1, 2, 9.jpg, 10.jpg, 0.216551625, 0.358181966, 0.216551625, right, 2, 1, 2, 9.jpg, 10.jpg, 0.9719514999887906, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
2, test, 1, vibration during outcome, 5, 1, 4, 9.jpg, 12.jpg, 0.21991786, 0.302042001, 0.302042001, left, 1, 4, 1, 12.jpg, 9.jpg, 0.7149681000155397, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
2, test, 1, vibration during outcome, 6, 1, 4, 9.jpg, 12.jpg, 0.209090036, 0.336540119, 0.336540119, left, 1, 4, 1, 12.jpg, 9.jpg, 0.495376299979398, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
2, test, 1, vibration during outcome, 7, 2, 3, 10.jpg, 11.jpg, 0.39060737, 0.582464681, 0.39060737, right, 2, 2, 3, 10.jpg, 11.jpg, 0.676206700009061, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,0,
2, test, 1, vibration during outcome, 8, 2, 4, 10.jpg, 12.jpg, 0.430440014, 0.369794555, 0.430440014, right, 2, 2, 4, 10.jpg, 12.jpg, 0.7175165000080597, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
2, test, 1, vibration during outcome, 9, 1, 3, 9.jpg, 11.jpg, 0.223820368, 0.530883085, 0.223820368, right, 2, 1, 3, 9.jpg, 11.jpg, 1.2384297999960836, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,0,
2, test, 1, vibration during outcome, 10, 3, 1, 11.jpg, 9.jpg, 0.507816291, 0.25320591, 0.25320591, left, 1, 1, 3, 9.jpg, 11.jpg, 0.470077100006165, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
2, test, 1, vibration during outcome, 11, 1, 2, 9.jpg, 10.jpg, 0.272116099, 0.489357893, 0.272116099, right, 2, 1, 2, 9.jpg, 10.jpg, 1.0085305999964476, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
2, test, 1, vibration during outcome, 12, 3, 2, 11.jpg, 10.jpg, 0.446302549, 0.484630844, 0.446302549, right, 2, 3, 2, 11.jpg, 10.jpg, 0.47859949999838136, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,1
2, test, 1, vibration during outcome, 13, 4, 2, 12.jpg, 10.jpg, 0.408056555, 0.493007884, 0.493007884, left, 1, 2, 4, 10.jpg, 12.jpg, 0.923158899997361, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
2, test, 1, vibration during outcome, 14, 3, 1, 11.jpg, 9.jpg, 0.424090899, 0.194746258, 0.424090899, right, 2, 3, 1, 11.jpg, 9.jpg, 0.7641831999935675, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
2, test, 1, vibration during outcome, 15, 2, 3, 10.jpg, 11.jpg, 0.498060855, 0.410741903, 0.410741903, left, 1, 3, 2, 11.jpg, 10.jpg, 0.514647399977548, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
2, test, 1, vibration during outcome, 16, 4, 2, 12.jpg, 10.jpg, 0.434571537, 0.473753497, 0.434571537, right, 2, 4, 2, 12.jpg, 10.jpg, 0.5400403999956325, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,1
2, test, 1, vibration during outcome, 17, 1, 2, 9.jpg, 10.jpg, 0.260713561, 0.427927548, 0.260713561, right, 2, 1, 2, 9.jpg, 10.jpg, 1.4222193000023253, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
2, test, 1, vibration during outcome, 18, 3, 4, 11.jpg, 12.jpg, 0.380302803, 0.458160423, 0.458160423, left, 1, 4, 3, 12.jpg, 11.jpg, 0.8198714000172913, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,1
2, test, 1, vibration during outcome, 19, 3, 1, 11.jpg, 9.jpg, 0.39026973, 0.269452755, 0.269452755, left, 1, 1, 3, 9.jpg, 11.jpg, 1.668589000008069, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
2, test, 1, vibration during outcome, 20, 3, 4, 11.jpg, 12.jpg, 0.408454439, 0.410963982, 0.408454439, right, 2, 3, 4, 11.jpg, 12.jpg, 0.5069276999856811, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,1
2, test, 1, vibration during outcome, 21, 1, 3, 9.jpg, 11.jpg, 0.289598518, 0.404768464, 0.404768464, left, 1, 3, 1, 11.jpg, 9.jpg, 0.7214205000200309, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,0,
2, test, 1, vibration during outcome, 22, 4, 1, 12.jpg, 9.jpg, 0.389718337, 0.299460569, 0.299460569, left, 1, 1, 4, 9.jpg, 12.jpg, 1.1096889000036754, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,1
2, test, 1, vibration during outcome, 23, 3, 2, 11.jpg, 10.jpg, 0.408863932, 0.397611772, 0.397611772, left, 1, 2, 3, 10.jpg, 11.jpg, 1.0887557000096422, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
2, test, 1, vibration during outcome, 24, 4, 1, 12.jpg, 9.jpg, 0.398445672, 0.266650787, 0.398445672, right, 2, 4, 1, 12.jpg, 9.jpg, 0.7141427000169642, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,1
2, test, 1, vibration during outcome, 25, 2, 3, 10.jpg, 11.jpg, 0.383103254, 0.425425396, 0.425425396, left, 1, 3, 2, 11.jpg, 10.jpg, 1.0255289000051562, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
2, test, 1, vibration during outcome, 26, 2, 3, 10.jpg, 11.jpg, 0.426705428, 0.44409494, 0.426705428, right, 2, 2, 3, 10.jpg, 11.jpg, 0.8704966999939643, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,1
2, test, 1, vibration during outcome, 27, 2, 1, 10.jpg, 9.jpg, 0.434578853, 0.260664603, 0.434578853, right, 2, 2, 1, 10.jpg, 9.jpg, 0.8806313000095543, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,1
2, test, 1, vibration during outcome, 28, 4, 1, 12.jpg, 9.jpg, 0.358204472, 0.254900351, 0.358204472, right, 2, 4, 1, 12.jpg, 9.jpg, 0.9198828000226058, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,1
2, test, 1, vibration during outcome, 29, 1, 3, 9.jpg, 11.jpg, 0.270226286, 0.45401501, 0.45401501, left, 1, 3, 1, 11.jpg, 9.jpg, 1.1110287999908905, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
2, test, 1, vibration during outcome, 30, 3, 4, 11.jpg, 12.jpg, 0.441888062, 0.36725969, 0.441888062, right, 2, 3, 4, 11.jpg, 12.jpg, 0.6261161000002176, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,1
2, test, 1, vibration during outcome, 31, 4, 2, 12.jpg, 10.jpg, 0.401609609, 0.473135831, 0.401609609, right, 2, 4, 2, 12.jpg, 10.jpg, 1.0987047999806236, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,1
2, test, 1, vibration during outcome, 32, 4, 3, 12.jpg, 11.jpg, 0.393803515, 0.406064085, 0.406064085, left, 1, 3, 4, 11.jpg, 12.jpg, 1.0120263999851886, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,1
2, test, 1, vibration during outcome, 33, 1, 4, 9.jpg, 12.jpg, 0.193554899, 0.402704902, 0.193554899, right, 2, 1, 4, 9.jpg, 12.jpg, 1.0959828000050038, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
2, test, 1, vibration during outcome, 34, 2, 3, 10.jpg, 11.jpg, 0.43001655, 0.409321444, 0.409321444, left, 1, 3, 2, 11.jpg, 10.jpg, 0.5240793999982998, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,0,
2, test, 1, vibration during outcome, 35, 3, 4, 11.jpg, 12.jpg, 0.424862287, 0.419699964, 0.419699964, left, 1, 4, 3, 12.jpg, 11.jpg, 0.611492800002452, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
