subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
41, practice, 1, vibration off, 1, 4, 2, 8.jpg, 6.jpg, 0.466504194, 0.615232533, 0.615232533, left, 1, 2, 4, 6.jpg, 8.jpg, 2.2989702000049874, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
41, practice, 1, vibration off, 2, 2, 4, 6.jpg, 8.jpg, 0.631199867, 0.47234587, 0.47234587, left, 1, 4, 2, 8.jpg, 6.jpg, 3.373439299997699, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
41, practice, 1, vibration off, 3, 3, 1, 7.jpg, 5.jpg, 0.374984468, 0.498939688, 0.374984468, right, 2, 3, 1, 7.jpg, 5.jpg, 1.1585892000002787, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
41, practice, 1, vibration off, 4, 1, 2, 5.jpg, 6.jpg, 0.498193315, 0.609226527, 0.609226527, left, 1, 2, 1, 6.jpg, 5.jpg, 1.3137455999967642, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
41, practice, 1, vibration off, 5, 3, 2, 7.jpg, 6.jpg, 0.35386843, 0.620106582, 0.35386843, right, 2, 3, 2, 7.jpg, 6.jpg, 1.659915700001875, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
41, test, 1, vibration off, 1, 1, 2, 5.jpg, 6.jpg, 0.511076546, 0.615232533, 0.511076546, right, 2, 1, 2, 5.jpg, 6.jpg, 1.2916326000049594, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
41, test, 1, vibration off, 2, 4, 1, 8.jpg, 5.jpg, 0.47234587, 0.517796443, 0.517796443, left, 1, 1, 4, 5.jpg, 8.jpg, 1.2944974999991246, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
41, test, 1, vibration off, 3, 4, 1, 8.jpg, 5.jpg, 0.491193418, 0.498939688, 0.498939688, left, 1, 1, 4, 5.jpg, 8.jpg, 1.982654999999795, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
41, test, 1, vibration off, 4, 4, 1, 8.jpg, 5.jpg, 0.486122834, 0.498193315, 0.498193315, left, 1, 1, 4, 5.jpg, 8.jpg, 2.765915700001642, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
41, test, 1, vibration off, 5, 2, 4, 6.jpg, 8.jpg, 0.620106582, 0.463675252, 0.620106582, right, 2, 2, 4, 6.jpg, 8.jpg, 1.8118807999999262, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
41, test, 1, vibration off, 6, 4, 2, 8.jpg, 6.jpg, 0.444784776, 0.609411022, 0.609411022, left, 1, 2, 4, 6.jpg, 8.jpg, 2.1436029999968014, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,1
41, test, 1, vibration off, 7, 3, 4, 7.jpg, 8.jpg, 0.351148204, 0.459669582, 0.459669582, left, 1, 4, 3, 8.jpg, 7.jpg, 1.4475951999993413, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,1
41, test, 1, vibration off, 8, 2, 3, 6.jpg, 7.jpg, 0.661043011, 0.385479761, 0.661043011, right, 2, 2, 3, 6.jpg, 7.jpg, 1.7025876000043354, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,1
41, test, 1, vibration off, 9, 3, 4, 7.jpg, 8.jpg, 0.38403906, 0.477824508, 0.477824508, left, 1, 4, 3, 8.jpg, 7.jpg, 1.4206492000012076, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,1
41, test, 1, vibration off, 10, 4, 1, 8.jpg, 5.jpg, 0.494179332, 0.538742055, 0.538742055, left, 1, 1, 4, 5.jpg, 8.jpg, 1.717757200000051, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,0,
41, test, 1, vibration off, 11, 3, 2, 7.jpg, 6.jpg, 0.389573429, 0.627053837, 0.627053837, left, 1, 2, 3, 6.jpg, 7.jpg, 1.7875854000012623, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,1
41, test, 1, vibration off, 12, 1, 3, 5.jpg, 7.jpg, 0.58170588, 0.368726719, 0.58170588, right, 2, 1, 3, 5.jpg, 7.jpg, 0.9083675000001676, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,0,
41, test, 1, vibration off, 13, 4, 2, 8.jpg, 6.jpg, 0.451621205, 0.597368238, 0.597368238, left, 1, 2, 4, 6.jpg, 8.jpg, 1.8004616999969585, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,1
41, test, 1, vibration off, 14, 2, 3, 6.jpg, 7.jpg, 0.603047222, 0.38842331, 0.603047222, right, 2, 2, 3, 6.jpg, 7.jpg, 0.7378434000056586, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,0,
41, test, 1, vibration off, 15, 3, 1, 7.jpg, 5.jpg, 0.398928367, 0.51169699, 0.398928367, right, 2, 3, 1, 7.jpg, 5.jpg, 0.719316800001252, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,0,
41, test, 1, vibration off, 16, 1, 4, 5.jpg, 8.jpg, 0.513158928, 0.445080478, 0.445080478, left, 1, 4, 1, 8.jpg, 5.jpg, 1.6945993999979692, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,1
41, test, 1, vibration off, 17, 1, 2, 5.jpg, 6.jpg, 0.513426935, 0.585694186, 0.585694186, left, 1, 2, 1, 6.jpg, 5.jpg, 1.803850500000408, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
41, test, 1, vibration off, 18, 4, 3, 8.jpg, 7.jpg, 0.418810463, 0.373664559, 0.418810463, right, 2, 4, 3, 8.jpg, 7.jpg, 1.8875647999957437, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,0,
41, test, 1, vibration off, 19, 4, 3, 8.jpg, 7.jpg, 0.404711898, 0.369915918, 0.369915918, left, 1, 3, 4, 7.jpg, 8.jpg, 0.8617084999932558, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,0,
41, test, 1, vibration off, 20, 3, 2, 7.jpg, 6.jpg, 0.34718102, 0.588279021, 0.588279021, left, 1, 2, 3, 6.jpg, 7.jpg, 1.1157534000012674, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,1
41, test, 1, vibration off, 21, 2, 1, 6.jpg, 5.jpg, 0.553509108, 0.512951285, 0.512951285, left, 1, 1, 2, 5.jpg, 6.jpg, 1.6662155999947572, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,0,
41, test, 1, vibration off, 22, 2, 3, 6.jpg, 7.jpg, 0.552815737, 0.364821817, 0.552815737, right, 2, 2, 3, 6.jpg, 7.jpg, 1.0756130000008852, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,1
41, test, 1, vibration off, 23, 3, 2, 7.jpg, 6.jpg, 0.373035803, 0.535255398, 0.535255398, left, 1, 2, 3, 6.jpg, 7.jpg, 2.4637342000060016, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,1
41, test, 1, vibration off, 24, 4, 1, 8.jpg, 5.jpg, 0.358107826, 0.575401102, 0.358107826, right, 2, 4, 1, 8.jpg, 5.jpg, 1.8078272999991896, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,0,
41, test, 1, vibration off, 25, 2, 4, 6.jpg, 8.jpg, 0.532040408, 0.373729847, 0.532040408, right, 2, 2, 4, 6.jpg, 8.jpg, 1.8316331999958493, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,0,
41, test, 1, vibration off, 26, 2, 3, 6.jpg, 7.jpg, 0.511692898, 0.371897574, 0.511692898, right, 2, 2, 3, 6.jpg, 7.jpg, 1.0351902000038535, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,1
41, test, 1, vibration off, 27, 2, 3, 6.jpg, 7.jpg, 0.54671574, 0.389383809, 0.54671574, right, 2, 2, 3, 6.jpg, 7.jpg, 0.797137900000962, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,1
41, test, 1, vibration off, 28, 2, 3, 6.jpg, 7.jpg, 0.570750529, 0.408417182, 0.408417182, left, 1, 3, 2, 7.jpg, 6.jpg, 1.346318700001575, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,1
41, test, 1, vibration off, 29, 3, 1, 7.jpg, 5.jpg, 0.383885215, 0.566867971, 0.566867971, left, 1, 1, 3, 5.jpg, 7.jpg, 1.2274299999990035, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,0,
41, test, 1, vibration off, 30, 3, 4, 7.jpg, 8.jpg, 0.406860111, 0.407780991, 0.406860111, right, 2, 3, 4, 7.jpg, 8.jpg, 0.8358417999988887, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,0,
41, test, 1, vibration off, 31, 4, 2, 8.jpg, 6.jpg, 0.40633374, 0.570453061, 0.570453061, left, 1, 2, 4, 6.jpg, 8.jpg, 1.1866388999987976, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,1
41, test, 1, vibration off, 32, 4, 1, 8.jpg, 5.jpg, 0.430319959, 0.587964414, 0.430319959, right, 2, 4, 1, 8.jpg, 5.jpg, 1.3691494000013336, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,1
41, test, 1, vibration off, 33, 1, 4, 5.jpg, 8.jpg, 0.569423526, 0.469700007, 0.469700007, left, 1, 4, 1, 8.jpg, 5.jpg, 0.6229707000020426, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,0,
41, test, 1, vibration off, 34, 3, 2, 7.jpg, 6.jpg, 0.411760625, 0.565200904, 0.565200904, left, 1, 2, 3, 6.jpg, 7.jpg, 2.385339299995394, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,0,
41, test, 1, vibration off, 35, 3, 2, 7.jpg, 6.jpg, 0.404213812, 0.567372701, 0.404213812, right, 2, 3, 2, 7.jpg, 6.jpg, 1.3373200000060024, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,0,
41, test, 1, vibration off, 36, 3, 2, 7.jpg, 6.jpg, 0.380656038, 0.558903517, 0.558903517, left, 1, 2, 3, 6.jpg, 7.jpg, 0.6069613999934518, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,1
41, test, 1, vibration off, 37, 1, 4, 5.jpg, 8.jpg, 0.628075493, 0.509842719, 0.509842719, left, 1, 4, 1, 8.jpg, 5.jpg, 1.0223354999980074, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,0,
41, test, 1, vibration off, 38, 2, 4, 6.jpg, 8.jpg, 0.538071442, 0.530542784, 0.538071442, right, 2, 2, 4, 6.jpg, 8.jpg, 1.6985719000003883, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,0,
41, test, 1, vibration off, 39, 3, 2, 7.jpg, 6.jpg, 0.341152187, 0.562917382, 0.341152187, right, 2, 3, 2, 7.jpg, 6.jpg, 3.342998500003887, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,1
41, test, 1, vibration off, 40, 2, 4, 6.jpg, 8.jpg, 0.574174471, 0.519319672, 0.519319672, left, 1, 4, 2, 8.jpg, 6.jpg, 2.775497800001176, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,0,
41, test, 1, vibration off, 41, 3, 1, 7.jpg, 5.jpg, 0.358175358, 0.60144404, 0.358175358, right, 2, 3, 1, 7.jpg, 5.jpg, 1.2952326999948127, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,0,
41, test, 1, vibration off, 42, 4, 2, 8.jpg, 6.jpg, 0.522351056, 0.582970551, 0.582970551, left, 1, 2, 4, 6.jpg, 8.jpg, 2.545818500002497, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,1
41, test, 1, vibration off, 43, 2, 1, 6.jpg, 5.jpg, 0.572586617, 0.628568645, 0.572586617, right, 2, 2, 1, 6.jpg, 5.jpg, 0.8562361000003875, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,0,
41, test, 1, vibration off, 44, 3, 4, 7.jpg, 8.jpg, 0.384631609, 0.54344664, 0.54344664, left, 1, 4, 3, 8.jpg, 7.jpg, 1.4478948000032688, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,1
41, test, 1, vibration off, 45, 4, 2, 8.jpg, 6.jpg, 0.52618086, 0.5781911, 0.52618086, right, 2, 4, 2, 8.jpg, 6.jpg, 0.9573509999972885, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,1
41, test, 1, vibration off, 46, 1, 3, 5.jpg, 7.jpg, 0.626001871, 0.376640317, 0.376640317, left, 1, 3, 1, 7.jpg, 5.jpg, 1.5507362999996985, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,0,
41, test, 1, vibration off, 47, 2, 4, 6.jpg, 8.jpg, 0.585886385, 0.546233567, 0.585886385, right, 2, 2, 4, 6.jpg, 8.jpg, 0.6277973999967799, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,1
41, test, 1, vibration off, 48, 2, 4, 6.jpg, 8.jpg, 0.601875425, 0.544792119, 0.544792119, left, 1, 4, 2, 8.jpg, 6.jpg, 1.2167796000067028, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,1
41, test, 1, vibration off, 49, 4, 2, 8.jpg, 6.jpg, 0.559135463, 0.595767883, 0.559135463, right, 2, 4, 2, 8.jpg, 6.jpg, 3.3152110000009998, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,1
41, test, 1, vibration off, 50, 1, 2, 5.jpg, 6.jpg, 0.585330427, 0.596690297, 0.596690297, left, 1, 2, 1, 6.jpg, 5.jpg, 0.6345581999994465, 1, 0.585330427, 0.596690297, 0.304980312, 0.528689445,0,
41, practice, 2, vibration during outcome, 1, 3, 1, 3.jpg, 1.jpg, 0.413504079, 0.511076546, 0.511076546, left, 1, 1, 3, 1.jpg, 3.jpg, 2.4393328000005567, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
41, practice, 2, vibration during outcome, 2, 3, 4, 3.jpg, 4.jpg, 0.375335495, 0.47234587, 0.375335495, right, 2, 3, 4, 3.jpg, 4.jpg, 1.9171433000010438, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
41, practice, 2, vibration during outcome, 3, 3, 4, 3.jpg, 4.jpg, 0.374984468, 0.491193418, 0.491193418, left, 1, 4, 3, 4.jpg, 3.jpg, 2.846509500006505, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
41, practice, 2, vibration during outcome, 4, 2, 3, 2.jpg, 3.jpg, 0.609226527, 0.371343772, 0.371343772, left, 1, 3, 2, 3.jpg, 2.jpg, 1.0226235000009183, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
41, practice, 2, vibration during outcome, 5, 2, 1, 2.jpg, 1.jpg, 0.620106582, 0.472267853, 0.472267853, left, 1, 1, 2, 1.jpg, 2.jpg, 2.249630199999956, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
41, test, 2, vibration during outcome, 1, 4, 2, 4.jpg, 2.jpg, 0.466504194, 0.615232533, 0.615232533, left, 1, 2, 4, 2.jpg, 4.jpg, 2.0389986999944085, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
41, test, 2, vibration during outcome, 2, 3, 2, 3.jpg, 2.jpg, 0.375335495, 0.631199867, 0.631199867, left, 1, 2, 3, 2.jpg, 3.jpg, 1.1712257999970461, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
41, test, 2, vibration during outcome, 3, 4, 1, 4.jpg, 1.jpg, 0.491193418, 0.498939688, 0.498939688, left, 1, 1, 4, 1.jpg, 4.jpg, 1.2768970000033733, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
41, test, 2, vibration during outcome, 4, 4, 3, 4.jpg, 3.jpg, 0.486122834, 0.371343772, 0.371343772, left, 1, 3, 4, 3.jpg, 4.jpg, 2.1281296000015573, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
41, test, 2, vibration during outcome, 5, 3, 1, 3.jpg, 1.jpg, 0.35386843, 0.472267853, 0.35386843, right, 2, 3, 1, 3.jpg, 1.jpg, 0.8440015000014682, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
41, test, 2, vibration during outcome, 6, 2, 1, 2.jpg, 1.jpg, 0.609411022, 0.48900464, 0.609411022, right, 2, 2, 1, 2.jpg, 1.jpg, 1.3186201999997138, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,0,
41, test, 2, vibration during outcome, 7, 3, 4, 3.jpg, 4.jpg, 0.351148204, 0.459669582, 0.351148204, right, 2, 3, 4, 3.jpg, 4.jpg, 1.7239239999980782, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,0,
41, test, 2, vibration during outcome, 8, 3, 2, 3.jpg, 2.jpg, 0.385479761, 0.661043011, 0.661043011, left, 1, 2, 3, 2.jpg, 3.jpg, 0.5165970000016387, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,1
41, test, 2, vibration during outcome, 9, 1, 2, 1.jpg, 2.jpg, 0.538202722, 0.617130773, 0.538202722, right, 2, 1, 2, 1.jpg, 2.jpg, 0.8548213000030955, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,0,
41, test, 2, vibration during outcome, 10, 1, 3, 1.jpg, 3.jpg, 0.538742055, 0.400369013, 0.400369013, left, 1, 3, 1, 3.jpg, 1.jpg, 1.8149869999979273, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,1
41, test, 2, vibration during outcome, 11, 3, 4, 3.jpg, 4.jpg, 0.389573429, 0.442060048, 0.389573429, right, 2, 3, 4, 3.jpg, 4.jpg, 1.4557505999982823, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,1
41, test, 2, vibration during outcome, 12, 4, 2, 4.jpg, 2.jpg, 0.429884006, 0.6084257, 0.6084257, left, 1, 2, 4, 2.jpg, 4.jpg, 1.4518927000026451, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,1
41, test, 2, vibration during outcome, 13, 1, 2, 1.jpg, 2.jpg, 0.578706679, 0.597368238, 0.578706679, right, 2, 1, 2, 1.jpg, 2.jpg, 0.8831767000010586, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,0,
41, test, 2, vibration during outcome, 14, 2, 1, 2.jpg, 1.jpg, 0.603047222, 0.542007718, 0.603047222, right, 2, 2, 1, 2.jpg, 1.jpg, 1.0339870000025257, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,0,
41, test, 2, vibration during outcome, 15, 4, 1, 4.jpg, 1.jpg, 0.449059956, 0.51169699, 0.51169699, left, 1, 1, 4, 1.jpg, 4.jpg, 2.0599421999941114, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,0,
41, test, 2, vibration during outcome, 16, 2, 4, 2.jpg, 4.jpg, 0.577589974, 0.445080478, 0.445080478, left, 1, 4, 2, 4.jpg, 2.jpg, 1.5788427000006777, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,0,
41, test, 2, vibration during outcome, 17, 4, 2, 4.jpg, 2.jpg, 0.422775713, 0.585694186, 0.422775713, right, 2, 4, 2, 4.jpg, 2.jpg, 2.4598254000011366, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
41, test, 2, vibration during outcome, 18, 3, 4, 3.jpg, 4.jpg, 0.373664559, 0.418810463, 0.373664559, right, 2, 3, 4, 3.jpg, 4.jpg, 0.7221189000047161, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,0,
41, test, 2, vibration during outcome, 19, 2, 4, 2.jpg, 4.jpg, 0.582335652, 0.404711898, 0.404711898, left, 1, 4, 2, 4.jpg, 2.jpg, 1.297858300000371, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,1
41, test, 2, vibration during outcome, 20, 4, 3, 4.jpg, 3.jpg, 0.429775493, 0.34718102, 0.429775493, right, 2, 4, 3, 4.jpg, 3.jpg, 0.6705422000013641, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,1
41, test, 2, vibration during outcome, 21, 3, 4, 3.jpg, 4.jpg, 0.365459609, 0.420212923, 0.365459609, right, 2, 3, 4, 3.jpg, 4.jpg, 0.6177220000026864, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,1
41, test, 2, vibration during outcome, 22, 4, 3, 4.jpg, 3.jpg, 0.410726764, 0.364821817, 0.364821817, left, 1, 3, 4, 3.jpg, 4.jpg, 0.5681291000000783, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,1
41, test, 2, vibration during outcome, 23, 3, 4, 3.jpg, 4.jpg, 0.373035803, 0.376882621, 0.376882621, left, 1, 4, 3, 4.jpg, 3.jpg, 1.519604300003266, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,1
41, test, 2, vibration during outcome, 24, 2, 1, 2.jpg, 1.jpg, 0.524393705, 0.575401102, 0.524393705, right, 2, 2, 1, 2.jpg, 1.jpg, 2.0659525000010035, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,1
41, test, 2, vibration during outcome, 25, 3, 4, 3.jpg, 4.jpg, 0.39083719, 0.373729847, 0.39083719, right, 2, 3, 4, 3.jpg, 4.jpg, 1.673792699999467, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,1
41, test, 2, vibration during outcome, 26, 1, 2, 1.jpg, 2.jpg, 0.536918816, 0.511692898, 0.511692898, left, 1, 2, 1, 2.jpg, 1.jpg, 1.1892594999953872, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,0,
41, test, 2, vibration during outcome, 27, 3, 2, 3.jpg, 2.jpg, 0.389383809, 0.54671574, 0.389383809, right, 2, 3, 2, 3.jpg, 2.jpg, 2.7996639999983017, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,1
41, test, 2, vibration during outcome, 28, 3, 1, 3.jpg, 1.jpg, 0.408417182, 0.559641612, 0.408417182, right, 2, 3, 1, 3.jpg, 1.jpg, 0.8484800000005635, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,1
41, test, 2, vibration during outcome, 29, 4, 3, 4.jpg, 3.jpg, 0.398536524, 0.383885215, 0.383885215, left, 1, 3, 4, 3.jpg, 4.jpg, 1.1372886000026483, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,0,
41, test, 2, vibration during outcome, 30, 3, 2, 3.jpg, 2.jpg, 0.406860111, 0.559260499, 0.559260499, left, 1, 2, 3, 2.jpg, 3.jpg, 0.8161153999972157, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,0,
41, test, 2, vibration during outcome, 31, 4, 1, 4.jpg, 1.jpg, 0.40633374, 0.557017169, 0.40633374, right, 2, 4, 1, 4.jpg, 1.jpg, 0.7007675999993808, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,0,
41, test, 2, vibration during outcome, 32, 4, 2, 4.jpg, 2.jpg, 0.430319959, 0.562455492, 0.562455492, left, 1, 2, 4, 2.jpg, 4.jpg, 0.6664048000020557, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,1
41, test, 2, vibration during outcome, 33, 4, 3, 4.jpg, 3.jpg, 0.469700007, 0.38651511, 0.38651511, left, 1, 3, 4, 3.jpg, 4.jpg, 0.7195911000017077, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,1
41, test, 2, vibration during outcome, 34, 4, 2, 4.jpg, 2.jpg, 0.45608609, 0.565200904, 0.45608609, right, 2, 4, 2, 4.jpg, 2.jpg, 1.6878738000013982, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,1
41, test, 2, vibration during outcome, 35, 2, 1, 2.jpg, 1.jpg, 0.567372701, 0.599079702, 0.599079702, left, 1, 1, 2, 1.jpg, 2.jpg, 1.3786746999976458, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,1
41, test, 2, vibration during outcome, 36, 3, 1, 3.jpg, 1.jpg, 0.380656038, 0.614921267, 0.380656038, right, 2, 3, 1, 3.jpg, 1.jpg, 1.1014548999955878, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,0,
41, test, 2, vibration during outcome, 37, 2, 4, 2.jpg, 4.jpg, 0.545721743, 0.509842719, 0.509842719, left, 1, 4, 2, 4.jpg, 2.jpg, 1.7200021999960882, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,1
41, test, 2, vibration during outcome, 38, 1, 2, 1.jpg, 2.jpg, 0.631242143, 0.538071442, 0.631242143, right, 2, 1, 2, 1.jpg, 2.jpg, 1.2557209999940824, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,1
41, test, 2, vibration during outcome, 39, 4, 3, 4.jpg, 3.jpg, 0.525341883, 0.341152187, 0.341152187, left, 1, 3, 4, 3.jpg, 4.jpg, 1.7436873999977252, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,0,
41, test, 2, vibration during outcome, 40, 1, 4, 1.jpg, 4.jpg, 0.598478627, 0.519319672, 0.598478627, right, 2, 1, 4, 1.jpg, 4.jpg, 2.3707999999969616, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,0,
41, test, 2, vibration during outcome, 41, 2, 4, 2.jpg, 4.jpg, 0.580661228, 0.531828439, 0.531828439, left, 1, 4, 2, 4.jpg, 2.jpg, 0.38191460000234656, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,1
41, test, 2, vibration during outcome, 42, 4, 2, 4.jpg, 2.jpg, 0.522351056, 0.582970551, 0.522351056, right, 2, 4, 2, 4.jpg, 2.jpg, 1.0838385000024573, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,0,
41, test, 2, vibration during outcome, 43, 1, 2, 1.jpg, 2.jpg, 0.628568645, 0.572586617, 0.628568645, right, 2, 1, 2, 1.jpg, 2.jpg, 0.8829882999998517, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,0,
41, test, 2, vibration during outcome, 44, 2, 1, 2.jpg, 1.jpg, 0.565568304, 0.636994371, 0.565568304, right, 2, 2, 1, 2.jpg, 1.jpg, 0.8701081999970484, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,0,
41, test, 2, vibration during outcome, 45, 3, 1, 3.jpg, 1.jpg, 0.386636695, 0.650015763, 0.386636695, right, 2, 3, 1, 3.jpg, 1.jpg, 1.1384200999964378, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,1
41, test, 2, vibration during outcome, 46, 1, 4, 1.jpg, 4.jpg, 0.626001871, 0.575008411, 0.575008411, left, 1, 4, 1, 4.jpg, 1.jpg, 1.849712900002487, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,1
41, test, 2, vibration during outcome, 47, 1, 2, 1.jpg, 2.jpg, 0.606772055, 0.585886385, 0.606772055, right, 2, 1, 2, 1.jpg, 2.jpg, 1.3829310000000987, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,1
41, test, 2, vibration during outcome, 48, 2, 1, 2.jpg, 1.jpg, 0.601875425, 0.609756275, 0.601875425, right, 2, 2, 1, 2.jpg, 1.jpg, 1.7878864000012982, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,0,
41, test, 2, vibration during outcome, 49, 3, 2, 3.jpg, 2.jpg, 0.298351175, 0.595767883, 0.298351175, right, 2, 3, 2, 3.jpg, 2.jpg, 0.915864499998861, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,0,
