subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
43, practice, 1, vibration during choice, 1, 4, 2, 12.jpg, 10.jpg, 0.302670058, 0.332201416, 0.332201416, left, 1, 2, 4, 10.jpg, 12.jpg, 1.0736392999824602, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
43, practice, 1, vibration during choice, 2, 2, 3, 10.jpg, 11.jpg, 0.355471562, 0.582595424, 0.355471562, right, 2, 2, 3, 10.jpg, 11.jpg, 0.6798536999849603, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
43, practice, 1, vibration during choice, 3, 3, 1, 11.jpg, 9.jpg, 0.578794293, 0.206677553, 0.206677553, left, 1, 1, 3, 9.jpg, 11.jpg, 0.9653660999902058, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
43, practice, 1, vibration during choice, 4, 3, 1, 11.jpg, 9.jpg, 0.569745321, 0.216551625, 0.216551625, left, 1, 1, 3, 9.jpg, 11.jpg, 1.0340656000189483, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
43, practice, 1, vibration during choice, 5, 4, 3, 12.jpg, 11.jpg, 0.302042001, 0.582527891, 0.302042001, right, 2, 4, 3, 12.jpg, 11.jpg, 0.7794199000054505, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
43, test, 1, vibration during choice, 1, 4, 3, 12.jpg, 11.jpg, 0.302670058, 0.584847675, 0.302670058, right, 2, 4, 3, 12.jpg, 11.jpg, 0.5556218000128865, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
43, test, 1, vibration during choice, 2, 2, 4, 10.jpg, 12.jpg, 0.355471562, 0.290755999, 0.290755999, left, 1, 4, 2, 12.jpg, 10.jpg, 0.5305447000137065, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
43, test, 1, vibration during choice, 3, 1, 2, 9.jpg, 10.jpg, 0.206677553, 0.3490424, 0.3490424, left, 1, 2, 1, 10.jpg, 9.jpg, 0.5296505999867804, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
43, test, 1, vibration during choice, 4, 4, 1, 12.jpg, 9.jpg, 0.268568422, 0.216551625, 0.216551625, left, 1, 1, 4, 9.jpg, 12.jpg, 0.7227733000181615, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
43, test, 1, vibration during choice, 5, 3, 4, 11.jpg, 12.jpg, 0.582527891, 0.302042001, 0.302042001, left, 1, 4, 3, 12.jpg, 11.jpg, 0.45617429999401793, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
