subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
47, practice, 1, vibration off, 1, 4, 3, 8.jpg, 7.jpg, 0.302670058, 0.584847675, 0.302670058, right, 2, 4, 3, 8.jpg, 7.jpg, 1.7368938000290655, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
47, practice, 1, vibration off, 2, 3, 4, 7.jpg, 8.jpg, 0.582595424, 0.290755999, 0.290755999, left, 1, 4, 3, 8.jpg, 7.jpg, 1.6429176999954507, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
47, practice, 1, vibration off, 3, 3, 4, 7.jpg, 8.jpg, 0.578794293, 0.275426328, 0.578794293, right, 2, 3, 4, 7.jpg, 8.jpg, 1.8010535999783315, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
47, practice, 1, vibration off, 4, 1, 4, 5.jpg, 8.jpg, 0.216551625, 0.268568422, 0.216551625, right, 2, 1, 4, 5.jpg, 8.jpg, 1.081893199996557, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
47, practice, 1, vibration off, 5, 1, 3, 5.jpg, 7.jpg, 0.21991786, 0.582527891, 0.582527891, left, 1, 3, 1, 7.jpg, 5.jpg, 1.0458831999567337, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
47, test, 1, vibration off, 1, 2, 4, 6.jpg, 8.jpg, 0.332201416, 0.302670058, 0.332201416, right, 2, 2, 4, 6.jpg, 8.jpg, 1.1795734000043012, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
47, test, 1, vibration off, 2, 4, 1, 8.jpg, 5.jpg, 0.290755999, 0.176264347, 0.290755999, right, 2, 4, 1, 8.jpg, 5.jpg, 1.4350559000158682, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
47, test, 1, vibration off, 3, 1, 3, 5.jpg, 7.jpg, 0.206677553, 0.578794293, 0.578794293, left, 1, 3, 1, 7.jpg, 5.jpg, 1.371112200024072, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
47, test, 1, vibration off, 4, 1, 3, 5.jpg, 7.jpg, 0.216551625, 0.569745321, 0.569745321, left, 1, 3, 1, 7.jpg, 5.jpg, 0.9212732000160031, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
47, test, 1, vibration off, 5, 1, 4, 5.jpg, 8.jpg, 0.21991786, 0.302042001, 0.302042001, left, 1, 4, 1, 8.jpg, 5.jpg, 1.9452350999927148, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
47, test, 1, vibration off, 6, 1, 2, 5.jpg, 6.jpg, 0.209090036, 0.3895513, 0.3895513, left, 1, 2, 1, 6.jpg, 5.jpg, 1.373568199982401, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,1
47, test, 1, vibration off, 7, 3, 2, 7.jpg, 6.jpg, 0.582464681, 0.39060737, 0.582464681, right, 2, 3, 2, 7.jpg, 6.jpg, 1.2313241999945603, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,1
47, test, 1, vibration off, 8, 4, 1, 8.jpg, 5.jpg, 0.369794555, 0.219868403, 0.219868403, left, 1, 1, 4, 5.jpg, 8.jpg, 1.099448500026483, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
47, test, 1, vibration off, 9, 2, 3, 6.jpg, 7.jpg, 0.4539861, 0.530883085, 0.530883085, left, 1, 3, 2, 7.jpg, 6.jpg, 2.018207200046163, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,1
47, test, 1, vibration off, 10, 4, 3, 8.jpg, 7.jpg, 0.36426522, 0.507816291, 0.507816291, left, 1, 3, 4, 7.jpg, 8.jpg, 0.6910770999966189, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,1
47, test, 1, vibration off, 11, 2, 4, 6.jpg, 8.jpg, 0.489357893, 0.378430477, 0.489357893, right, 2, 2, 4, 6.jpg, 8.jpg, 1.924709899991285, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,1
47, test, 1, vibration off, 12, 2, 1, 6.jpg, 5.jpg, 0.484630844, 0.234286576, 0.484630844, right, 2, 2, 1, 6.jpg, 5.jpg, 0.9522922999458387, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
47, test, 1, vibration off, 13, 1, 4, 5.jpg, 8.jpg, 0.209829698, 0.408056555, 0.209829698, right, 2, 1, 4, 5.jpg, 8.jpg, 1.6570487000280991, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
47, test, 1, vibration off, 14, 3, 2, 7.jpg, 6.jpg, 0.424090899, 0.496165246, 0.424090899, right, 2, 3, 2, 7.jpg, 6.jpg, 0.7553667000029236, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
47, test, 1, vibration off, 15, 3, 2, 7.jpg, 6.jpg, 0.410741903, 0.498060855, 0.410741903, right, 2, 3, 2, 7.jpg, 6.jpg, 0.6745743000064977, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,1
47, test, 1, vibration off, 16, 4, 3, 8.jpg, 7.jpg, 0.434571537, 0.384469806, 0.384469806, left, 1, 3, 4, 7.jpg, 8.jpg, 0.8231805000104941, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,0,
47, test, 1, vibration off, 17, 1, 4, 5.jpg, 8.jpg, 0.260713561, 0.467037886, 0.260713561, right, 2, 1, 4, 5.jpg, 8.jpg, 2.457803099998273, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
47, test, 1, vibration off, 18, 3, 4, 7.jpg, 8.jpg, 0.380302803, 0.458160423, 0.380302803, right, 2, 3, 4, 7.jpg, 8.jpg, 0.8146092999959365, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
47, test, 1, vibration off, 19, 1, 2, 5.jpg, 6.jpg, 0.269452755, 0.435371131, 0.435371131, left, 1, 2, 1, 6.jpg, 5.jpg, 1.3882772999932058, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
47, test, 1, vibration off, 20, 2, 4, 6.jpg, 8.jpg, 0.425551488, 0.410963982, 0.425551488, right, 2, 2, 4, 6.jpg, 8.jpg, 0.976040700043086, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,1
47, test, 1, vibration off, 21, 3, 2, 7.jpg, 6.jpg, 0.404768464, 0.44190032, 0.44190032, left, 1, 2, 3, 6.jpg, 7.jpg, 1.035773599985987, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,0,
47, test, 1, vibration off, 22, 3, 1, 7.jpg, 5.jpg, 0.422610309, 0.299460569, 0.422610309, right, 2, 3, 1, 7.jpg, 5.jpg, 0.48599199997261167, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
47, test, 1, vibration off, 23, 1, 2, 5.jpg, 6.jpg, 0.275422902, 0.397611772, 0.275422902, right, 2, 1, 2, 5.jpg, 6.jpg, 1.440093600016553, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
47, test, 1, vibration off, 24, 4, 1, 8.jpg, 5.jpg, 0.398445672, 0.266650787, 0.266650787, left, 1, 1, 4, 5.jpg, 8.jpg, 1.2958956000511535, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,1
47, test, 1, vibration off, 25, 1, 3, 5.jpg, 7.jpg, 0.254259812, 0.425425396, 0.254259812, right, 2, 1, 3, 5.jpg, 7.jpg, 0.6874946999596432, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
47, test, 1, vibration off, 26, 2, 4, 6.jpg, 8.jpg, 0.426705428, 0.389570929, 0.389570929, left, 1, 4, 2, 8.jpg, 6.jpg, 1.3047600000281818, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
47, test, 1, vibration off, 27, 3, 4, 7.jpg, 8.jpg, 0.476699219, 0.351861927, 0.476699219, right, 2, 3, 4, 7.jpg, 8.jpg, 0.6117615000111982, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,1
47, test, 1, vibration off, 28, 2, 1, 6.jpg, 5.jpg, 0.456535155, 0.254900351, 0.456535155, right, 2, 2, 1, 6.jpg, 5.jpg, 1.5512705000001006, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
47, test, 1, vibration off, 29, 2, 3, 6.jpg, 7.jpg, 0.431125609, 0.45401501, 0.45401501, left, 1, 3, 2, 7.jpg, 6.jpg, 0.5833180999616161, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
47, test, 1, vibration off, 30, 4, 3, 8.jpg, 7.jpg, 0.36725969, 0.441888062, 0.441888062, left, 1, 3, 4, 7.jpg, 8.jpg, 0.9790373999858275, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
47, test, 1, vibration off, 31, 2, 1, 6.jpg, 5.jpg, 0.473135831, 0.233739069, 0.233739069, left, 1, 1, 2, 5.jpg, 6.jpg, 1.038463499979116, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,0,
47, test, 1, vibration off, 32, 3, 4, 7.jpg, 8.jpg, 0.406064085, 0.393803515, 0.406064085, right, 2, 3, 4, 7.jpg, 8.jpg, 0.7069748999783769, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,1
47, test, 1, vibration off, 33, 1, 3, 5.jpg, 7.jpg, 0.193554899, 0.401876712, 0.401876712, left, 1, 3, 1, 7.jpg, 5.jpg, 1.2683228999958374, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,1
47, test, 1, vibration off, 34, 2, 3, 6.jpg, 7.jpg, 0.43001655, 0.409321444, 0.409321444, left, 1, 3, 2, 7.jpg, 6.jpg, 0.51371220004512, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,0,
47, test, 1, vibration off, 35, 3, 1, 7.jpg, 5.jpg, 0.424862287, 0.22048214, 0.424862287, right, 2, 3, 1, 7.jpg, 5.jpg, 0.6401068999548443, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,1
47, test, 1, vibration off, 36, 2, 4, 6.jpg, 8.jpg, 0.447650766, 0.428911523, 0.428911523, left, 1, 4, 2, 8.jpg, 6.jpg, 2.2754843999864534, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
47, test, 1, vibration off, 37, 3, 4, 7.jpg, 8.jpg, 0.43257228, 0.39910528, 0.43257228, right, 2, 3, 4, 7.jpg, 8.jpg, 1.2809399000252597, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
47, test, 1, vibration off, 38, 1, 4, 5.jpg, 8.jpg, 0.221341547, 0.390289699, 0.390289699, left, 1, 4, 1, 8.jpg, 5.jpg, 0.4742026000167243, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
47, test, 1, vibration off, 39, 3, 1, 7.jpg, 5.jpg, 0.408906602, 0.214118114, 0.408906602, right, 2, 3, 1, 7.jpg, 5.jpg, 1.1479025000007823, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,0,
47, test, 1, vibration off, 40, 1, 2, 5.jpg, 6.jpg, 0.217505069, 0.447456341, 0.217505069, right, 2, 1, 2, 5.jpg, 6.jpg, 1.5819349000230432, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,1
47, test, 1, vibration off, 41, 3, 2, 7.jpg, 6.jpg, 0.382054645, 0.458162882, 0.382054645, right, 2, 3, 2, 7.jpg, 6.jpg, 0.9477059000055306, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,1
47, test, 1, vibration off, 42, 3, 4, 7.jpg, 8.jpg, 0.383924023, 0.368787043, 0.383924023, right, 2, 3, 4, 7.jpg, 8.jpg, 0.9314155000029132, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,1
47, test, 1, vibration off, 43, 3, 2, 7.jpg, 6.jpg, 0.401205729, 0.511556199, 0.401205729, right, 2, 3, 2, 7.jpg, 6.jpg, 0.7141558000002988, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,0,
47, test, 1, vibration off, 44, 2, 4, 6.jpg, 8.jpg, 0.530811847, 0.362927966, 0.362927966, left, 1, 4, 2, 8.jpg, 6.jpg, 1.6605089000076987, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,0,
47, test, 1, vibration off, 45, 4, 2, 8.jpg, 6.jpg, 0.367033206, 0.512913286, 0.512913286, left, 1, 2, 4, 6.jpg, 8.jpg, 1.4461263999692164, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
47, test, 1, vibration off, 46, 2, 1, 6.jpg, 5.jpg, 0.533187647, 0.289973458, 0.289973458, left, 1, 1, 2, 5.jpg, 6.jpg, 1.132073299959302, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
47, test, 1, vibration off, 47, 4, 2, 8.jpg, 6.jpg, 0.34679011, 0.537872242, 0.537872242, left, 1, 2, 4, 6.jpg, 8.jpg, 1.3592768000089563, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,1
47, test, 1, vibration off, 48, 2, 3, 6.jpg, 7.jpg, 0.523160461, 0.408168742, 0.523160461, right, 2, 2, 3, 6.jpg, 7.jpg, 0.7584447000408545, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
47, test, 1, vibration off, 49, 4, 1, 8.jpg, 5.jpg, 0.356189797, 0.293886334, 0.293886334, left, 1, 1, 4, 5.jpg, 8.jpg, 2.4400927000097, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
47, test, 1, vibration off, 50, 2, 3, 6.jpg, 7.jpg, 0.548355336, 0.386662209, 0.386662209, left, 1, 3, 2, 7.jpg, 6.jpg, 0.6242869999841787, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
47, practice, 2, vibration during outcome, 1, 3, 2, 11.jpg, 10.jpg, 0.584847675, 0.332201416, 0.584847675, right, 2, 3, 2, 11.jpg, 10.jpg, 2.0592059000045992, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
47, practice, 2, vibration during outcome, 2, 2, 4, 10.jpg, 12.jpg, 0.355471562, 0.290755999, 0.290755999, left, 1, 4, 2, 12.jpg, 10.jpg, 1.556381499976851, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
47, practice, 2, vibration during outcome, 3, 1, 2, 9.jpg, 10.jpg, 0.206677553, 0.3490424, 0.206677553, right, 2, 1, 2, 9.jpg, 10.jpg, 1.5673039999674074, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
47, practice, 2, vibration during outcome, 4, 1, 2, 9.jpg, 10.jpg, 0.216551625, 0.358181966, 0.216551625, right, 2, 1, 2, 9.jpg, 10.jpg, 0.9539843999664299, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
47, practice, 2, vibration during outcome, 5, 3, 4, 11.jpg, 12.jpg, 0.582527891, 0.302042001, 0.582527891, right, 2, 3, 4, 11.jpg, 12.jpg, 1.327906799968332, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
47, test, 2, vibration during outcome, 1, 3, 4, 11.jpg, 12.jpg, 0.584847675, 0.302670058, 0.584847675, right, 2, 3, 4, 11.jpg, 12.jpg, 0.6396346000256017, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
47, test, 2, vibration during outcome, 2, 3, 2, 11.jpg, 10.jpg, 0.582595424, 0.355471562, 0.582595424, right, 2, 3, 2, 11.jpg, 10.jpg, 0.7554904000135139, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
47, test, 2, vibration during outcome, 3, 3, 2, 11.jpg, 10.jpg, 0.578794293, 0.3490424, 0.578794293, right, 2, 3, 2, 11.jpg, 10.jpg, 0.8938273999956436, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
47, test, 2, vibration during outcome, 4, 2, 3, 10.jpg, 11.jpg, 0.358181966, 0.569745321, 0.358181966, right, 2, 2, 3, 10.jpg, 11.jpg, 1.4632748000440188, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
47, test, 2, vibration during outcome, 5, 4, 3, 12.jpg, 11.jpg, 0.302042001, 0.582527891, 0.302042001, right, 2, 4, 3, 12.jpg, 11.jpg, 1.6396763999946415, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
47, test, 2, vibration during outcome, 6, 2, 1, 10.jpg, 9.jpg, 0.3895513, 0.209090036, 0.209090036, left, 1, 1, 2, 9.jpg, 10.jpg, 1.1333991000428796, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
47, test, 2, vibration during outcome, 7, 4, 3, 12.jpg, 11.jpg, 0.363378709, 0.582464681, 0.582464681, left, 1, 3, 4, 11.jpg, 12.jpg, 1.6701805999618955, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,1
47, test, 2, vibration during outcome, 8, 1, 3, 9.jpg, 11.jpg, 0.219868403, 0.545053358, 0.545053358, left, 1, 3, 1, 11.jpg, 9.jpg, 0.8231648000073619, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,1
47, test, 2, vibration during outcome, 9, 4, 3, 12.jpg, 11.jpg, 0.365747455, 0.530883085, 0.530883085, left, 1, 3, 4, 11.jpg, 12.jpg, 0.5793184000067413, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,1
47, test, 2, vibration during outcome, 10, 4, 1, 12.jpg, 9.jpg, 0.36426522, 0.25320591, 0.25320591, left, 1, 1, 4, 9.jpg, 12.jpg, 1.7846227000118233, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
47, test, 2, vibration during outcome, 11, 2, 1, 10.jpg, 9.jpg, 0.489357893, 0.272116099, 0.489357893, right, 2, 2, 1, 10.jpg, 9.jpg, 0.8711967000272125, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,1
47, test, 2, vibration during outcome, 12, 3, 1, 11.jpg, 9.jpg, 0.446302549, 0.234286576, 0.446302549, right, 2, 3, 1, 11.jpg, 9.jpg, 0.6934231000486761, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
47, test, 2, vibration during outcome, 13, 3, 2, 11.jpg, 10.jpg, 0.441292304, 0.493007884, 0.441292304, right, 2, 3, 2, 11.jpg, 10.jpg, 1.4909183999989182, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
47, test, 2, vibration during outcome, 14, 2, 3, 10.jpg, 11.jpg, 0.496165246, 0.424090899, 0.424090899, left, 1, 3, 2, 11.jpg, 10.jpg, 0.9064968000166118, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
47, test, 2, vibration during outcome, 15, 4, 2, 12.jpg, 10.jpg, 0.425420016, 0.498060855, 0.498060855, left, 1, 2, 4, 10.jpg, 12.jpg, 1.9293431999976747, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
47, test, 2, vibration during outcome, 16, 2, 4, 10.jpg, 12.jpg, 0.473753497, 0.434571537, 0.473753497, right, 2, 2, 4, 10.jpg, 12.jpg, 1.873498099972494, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,1
47, test, 2, vibration during outcome, 17, 3, 4, 11.jpg, 12.jpg, 0.397409959, 0.467037886, 0.467037886, left, 1, 4, 3, 12.jpg, 11.jpg, 1.3555390000110492, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
47, test, 2, vibration during outcome, 18, 1, 2, 9.jpg, 10.jpg, 0.273570125, 0.42862063, 0.42862063, left, 1, 2, 1, 10.jpg, 9.jpg, 1.9737143000238575, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,1
47, test, 2, vibration during outcome, 19, 2, 1, 10.jpg, 9.jpg, 0.435371131, 0.269452755, 0.435371131, right, 2, 2, 1, 10.jpg, 9.jpg, 1.1874919999972917, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,1
47, test, 2, vibration during outcome, 20, 2, 1, 10.jpg, 9.jpg, 0.425551488, 0.268741649, 0.425551488, right, 2, 2, 1, 10.jpg, 9.jpg, 1.474504199984949, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
47, test, 2, vibration during outcome, 21, 2, 4, 10.jpg, 12.jpg, 0.44190032, 0.423231262, 0.44190032, right, 2, 2, 4, 10.jpg, 12.jpg, 1.8274963999865577, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,0,
47, test, 2, vibration during outcome, 22, 4, 3, 12.jpg, 11.jpg, 0.389718337, 0.422610309, 0.422610309, left, 1, 3, 4, 11.jpg, 12.jpg, 0.678076800017152, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
47, test, 2, vibration during outcome, 23, 1, 2, 9.jpg, 10.jpg, 0.275422902, 0.397611772, 0.275422902, right, 2, 1, 2, 9.jpg, 10.jpg, 0.8296701000072062, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
47, test, 2, vibration during outcome, 24, 4, 1, 12.jpg, 9.jpg, 0.398445672, 0.266650787, 0.398445672, right, 2, 4, 1, 12.jpg, 9.jpg, 1.3345990999951027, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,1
47, test, 2, vibration during outcome, 25, 3, 1, 11.jpg, 9.jpg, 0.425425396, 0.254259812, 0.425425396, right, 2, 3, 1, 11.jpg, 9.jpg, 1.5011498000239953, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
47, test, 2, vibration during outcome, 26, 3, 2, 11.jpg, 10.jpg, 0.44409494, 0.426705428, 0.426705428, left, 1, 2, 3, 10.jpg, 11.jpg, 1.2497572000138462, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,1
47, test, 2, vibration during outcome, 27, 2, 3, 10.jpg, 11.jpg, 0.434578853, 0.476699219, 0.434578853, right, 2, 2, 3, 10.jpg, 11.jpg, 1.1498249000287615, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,1
47, test, 2, vibration during outcome, 28, 2, 3, 10.jpg, 11.jpg, 0.456535155, 0.471375184, 0.456535155, right, 2, 2, 3, 10.jpg, 11.jpg, 0.9046332000289112, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
47, test, 2, vibration during outcome, 29, 4, 1, 12.jpg, 9.jpg, 0.360838495, 0.270226286, 0.270226286, left, 1, 1, 4, 9.jpg, 12.jpg, 1.0996733999927528, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
47, test, 2, vibration during outcome, 30, 1, 2, 9.jpg, 10.jpg, 0.231605059, 0.434793002, 0.434793002, left, 1, 2, 1, 10.jpg, 9.jpg, 1.1922911000438035, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
47, test, 2, vibration during outcome, 31, 4, 3, 12.jpg, 11.jpg, 0.401609609, 0.456731037, 0.456731037, left, 1, 3, 4, 11.jpg, 12.jpg, 1.0349698000354692, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,1
47, test, 2, vibration during outcome, 32, 4, 2, 12.jpg, 10.jpg, 0.393803515, 0.452508743, 0.393803515, right, 2, 4, 2, 12.jpg, 10.jpg, 1.067983999964781, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,1
47, test, 2, vibration during outcome, 33, 2, 1, 10.jpg, 9.jpg, 0.458621481, 0.193554899, 0.458621481, right, 2, 2, 1, 10.jpg, 9.jpg, 2.0457735999953, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,1
47, test, 2, vibration during outcome, 34, 2, 4, 10.jpg, 12.jpg, 0.43001655, 0.416668377, 0.416668377, left, 1, 4, 2, 12.jpg, 10.jpg, 0.9106632999610156, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
47, test, 2, vibration during outcome, 35, 2, 3, 10.jpg, 11.jpg, 0.429045935, 0.424862287, 0.424862287, left, 1, 3, 2, 11.jpg, 10.jpg, 1.6850670999847353, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
47, test, 2, vibration during outcome, 36, 1, 4, 9.jpg, 12.jpg, 0.211101934, 0.428911523, 0.428911523, left, 1, 4, 1, 12.jpg, 9.jpg, 0.8683624999830499, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,0,
47, test, 2, vibration during outcome, 37, 4, 1, 12.jpg, 9.jpg, 0.39910528, 0.219326053, 0.39910528, right, 2, 4, 1, 12.jpg, 9.jpg, 0.5734935000073165, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,1
47, test, 2, vibration during outcome, 38, 4, 3, 12.jpg, 11.jpg, 0.390289699, 0.4363313, 0.390289699, right, 2, 4, 3, 12.jpg, 11.jpg, 0.9060881999903359, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,1
47, test, 2, vibration during outcome, 39, 4, 3, 12.jpg, 11.jpg, 0.411267062, 0.408906602, 0.411267062, right, 2, 4, 3, 12.jpg, 11.jpg, 0.7076270999968983, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,0,
47, test, 2, vibration during outcome, 40, 4, 2, 12.jpg, 10.jpg, 0.401024283, 0.447456341, 0.401024283, right, 2, 4, 2, 12.jpg, 10.jpg, 0.7737552000326104, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,1
47, test, 2, vibration during outcome, 41, 3, 2, 11.jpg, 10.jpg, 0.382054645, 0.458162882, 0.382054645, right, 2, 3, 2, 11.jpg, 10.jpg, 1.386156500026118, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
47, test, 2, vibration during outcome, 42, 1, 3, 9.jpg, 11.jpg, 0.255981224, 0.383924023, 0.255981224, right, 2, 1, 3, 9.jpg, 11.jpg, 1.6089422999648377, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,1
47, test, 2, vibration during outcome, 43, 4, 1, 12.jpg, 9.jpg, 0.38383929, 0.288213763, 0.38383929, right, 2, 4, 1, 12.jpg, 9.jpg, 2.1181379999616183, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,1
47, test, 2, vibration during outcome, 44, 4, 2, 12.jpg, 10.jpg, 0.362927966, 0.530811847, 0.362927966, right, 2, 4, 2, 12.jpg, 10.jpg, 1.503917999973055, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,1
47, test, 2, vibration during outcome, 45, 2, 3, 10.jpg, 11.jpg, 0.512913286, 0.336134109, 0.512913286, right, 2, 2, 3, 10.jpg, 11.jpg, 1.5031578000052832, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,0,
47, test, 2, vibration during outcome, 46, 3, 4, 11.jpg, 12.jpg, 0.325220477, 0.368488345, 0.368488345, left, 1, 4, 3, 12.jpg, 11.jpg, 0.9063500000047497, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
47, test, 2, vibration during outcome, 47, 3, 1, 11.jpg, 9.jpg, 0.357892701, 0.29306391, 0.357892701, right, 2, 3, 1, 11.jpg, 9.jpg, 0.8941575000062585, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,0,
47, test, 2, vibration during outcome, 48, 2, 4, 10.jpg, 12.jpg, 0.523160461, 0.356952705, 0.356952705, left, 1, 4, 2, 12.jpg, 10.jpg, 0.5427314999978989, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
47, test, 2, vibration during outcome, 49, 1, 2, 9.jpg, 10.jpg, 0.293886334, 0.527646571, 0.527646571, left, 1, 2, 1, 10.jpg, 9.jpg, 1.7855687999981456, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,1
