subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
4, practice, 1, vibration off, 1, 4, 1, 8.jpg, 5.jpg, 0.466504194, 0.511076546, 0.511076546, left, 1, 1, 4, 5.jpg, 8.jpg, 1.6520961999194697, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
4, practice, 1, vibration off, 2, 2, 3, 6.jpg, 7.jpg, 0.631199867, 0.375335495, 0.631199867, right, 2, 2, 3, 6.jpg, 7.jpg, 0.9878453999990597, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
4, practice, 1, vibration off, 3, 1, 4, 5.jpg, 8.jpg, 0.498939688, 0.491193418, 0.491193418, left, 1, 4, 1, 8.jpg, 5.jpg, 1.0315658999606967, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
4, practice, 1, vibration off, 4, 3, 4, 7.jpg, 8.jpg, 0.371343772, 0.486122834, 0.486122834, left, 1, 4, 3, 8.jpg, 7.jpg, 0.9124075999716297, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
4, practice, 1, vibration off, 5, 4, 1, 8.jpg, 5.jpg, 0.463675252, 0.472267853, 0.463675252, right, 2, 4, 1, 8.jpg, 5.jpg, 1.332500800024718, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
4, test, 1, vibration off, 1, 4, 3, 8.jpg, 7.jpg, 0.466504194, 0.413504079, 0.413504079, left, 1, 3, 4, 7.jpg, 8.jpg, 0.49067179998382926, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
4, test, 1, vibration off, 2, 1, 2, 5.jpg, 6.jpg, 0.517796443, 0.631199867, 0.631199867, left, 1, 2, 1, 6.jpg, 5.jpg, 0.8644320000894368, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
4, test, 1, vibration off, 3, 1, 3, 5.jpg, 7.jpg, 0.498939688, 0.374984468, 0.498939688, right, 2, 1, 3, 5.jpg, 7.jpg, 0.6532213999889791, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
4, test, 1, vibration off, 4, 1, 4, 5.jpg, 8.jpg, 0.498193315, 0.486122834, 0.486122834, left, 1, 4, 1, 8.jpg, 5.jpg, 1.0469403000315651, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
4, test, 1, vibration off, 5, 2, 3, 6.jpg, 7.jpg, 0.620106582, 0.35386843, 0.35386843, left, 1, 3, 2, 7.jpg, 6.jpg, 0.8186729999724776, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
4, test, 1, vibration off, 6, 1, 3, 5.jpg, 7.jpg, 0.48900464, 0.353156918, 0.353156918, left, 1, 3, 1, 7.jpg, 5.jpg, 0.9187634999398142, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,0,
4, test, 1, vibration off, 7, 3, 4, 7.jpg, 8.jpg, 0.351148204, 0.459669582, 0.459669582, left, 1, 4, 3, 8.jpg, 7.jpg, 1.118514099973254, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,1
4, test, 1, vibration off, 8, 3, 1, 7.jpg, 5.jpg, 0.385479761, 0.523305174, 0.523305174, left, 1, 1, 3, 5.jpg, 7.jpg, 0.6660990999080241, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,0,
4, test, 1, vibration off, 9, 4, 3, 8.jpg, 7.jpg, 0.477824508, 0.38403906, 0.477824508, right, 2, 4, 3, 8.jpg, 7.jpg, 1.0237839999608696, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,1
4, test, 1, vibration off, 10, 1, 4, 5.jpg, 8.jpg, 0.538742055, 0.494179332, 0.494179332, left, 1, 4, 1, 8.jpg, 5.jpg, 0.9277977000456303, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,0,
4, test, 1, vibration off, 11, 1, 4, 5.jpg, 8.jpg, 0.576408806, 0.442060048, 0.442060048, left, 1, 4, 1, 8.jpg, 5.jpg, 1.155791400000453, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,1
4, test, 1, vibration off, 12, 2, 3, 6.jpg, 7.jpg, 0.6084257, 0.368726719, 0.6084257, right, 2, 2, 3, 6.jpg, 7.jpg, 1.2095264999661595, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,0,
4, test, 1, vibration off, 13, 4, 1, 8.jpg, 5.jpg, 0.451621205, 0.578706679, 0.578706679, left, 1, 1, 4, 5.jpg, 8.jpg, 1.6587809000629932, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,1
4, test, 1, vibration off, 14, 4, 3, 8.jpg, 7.jpg, 0.453322749, 0.38842331, 0.453322749, right, 2, 4, 3, 8.jpg, 7.jpg, 1.3896758999908343, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,1
4, test, 1, vibration off, 15, 2, 1, 6.jpg, 5.jpg, 0.59667375, 0.51169699, 0.59667375, right, 2, 2, 1, 6.jpg, 5.jpg, 1.942520400043577, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,1
4, test, 1, vibration off, 16, 3, 4, 7.jpg, 8.jpg, 0.371810296, 0.445080478, 0.445080478, left, 1, 4, 3, 8.jpg, 7.jpg, 2.1068245000205934, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,0,
4, test, 1, vibration off, 17, 4, 2, 8.jpg, 6.jpg, 0.422775713, 0.585694186, 0.422775713, right, 2, 4, 2, 8.jpg, 6.jpg, 1.0034193999599665, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
4, test, 1, vibration off, 18, 3, 1, 7.jpg, 5.jpg, 0.373664559, 0.505704724, 0.505704724, left, 1, 1, 3, 5.jpg, 7.jpg, 2.6386037999764085, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,0,
4, test, 1, vibration off, 19, 2, 3, 6.jpg, 7.jpg, 0.582335652, 0.369915918, 0.369915918, left, 1, 3, 2, 7.jpg, 6.jpg, 3.2313999000471085, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,1
4, test, 1, vibration off, 20, 2, 4, 6.jpg, 8.jpg, 0.588279021, 0.429775493, 0.588279021, right, 2, 2, 4, 6.jpg, 8.jpg, 2.3547616000287235, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,0,
4, test, 1, vibration off, 21, 2, 1, 6.jpg, 5.jpg, 0.553509108, 0.512951285, 0.512951285, left, 1, 1, 2, 5.jpg, 6.jpg, 0.7485236999345943, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,0,
4, test, 1, vibration off, 22, 2, 3, 6.jpg, 7.jpg, 0.552815737, 0.364821817, 0.552815737, right, 2, 2, 3, 6.jpg, 7.jpg, 2.803731400053948, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,1
4, test, 1, vibration off, 23, 2, 3, 6.jpg, 7.jpg, 0.535255398, 0.373035803, 0.373035803, left, 1, 3, 2, 7.jpg, 6.jpg, 1.2600107000907883, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,1
4, test, 1, vibration off, 24, 2, 4, 6.jpg, 8.jpg, 0.524393705, 0.358107826, 0.358107826, left, 1, 4, 2, 8.jpg, 6.jpg, 2.992947500082664, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,1
4, test, 1, vibration off, 25, 3, 2, 7.jpg, 6.jpg, 0.39083719, 0.532040408, 0.39083719, right, 2, 3, 2, 7.jpg, 6.jpg, 2.8717087999684736, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,1
4, test, 1, vibration off, 26, 4, 3, 8.jpg, 7.jpg, 0.398780507, 0.371897574, 0.398780507, right, 2, 4, 3, 8.jpg, 7.jpg, 1.7400346000213176, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,1
4, test, 1, vibration off, 27, 4, 2, 8.jpg, 6.jpg, 0.405865749, 0.54671574, 0.54671574, left, 1, 2, 4, 6.jpg, 8.jpg, 1.7169647000264376, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,1
4, test, 1, vibration off, 28, 4, 2, 8.jpg, 6.jpg, 0.403418308, 0.570750529, 0.403418308, right, 2, 4, 2, 8.jpg, 6.jpg, 1.1022471999749541, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,0,
4, test, 1, vibration off, 29, 1, 4, 5.jpg, 8.jpg, 0.566867971, 0.398536524, 0.398536524, left, 1, 4, 1, 8.jpg, 5.jpg, 1.0580010999692604, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,0,
4, test, 1, vibration off, 30, 2, 4, 6.jpg, 8.jpg, 0.559260499, 0.407780991, 0.407780991, left, 1, 4, 2, 8.jpg, 6.jpg, 0.630680299946107, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,0,
4, test, 1, vibration off, 31, 2, 1, 6.jpg, 5.jpg, 0.570453061, 0.557017169, 0.570453061, right, 2, 2, 1, 6.jpg, 5.jpg, 1.6513109999941662, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,0,
4, test, 1, vibration off, 32, 3, 2, 7.jpg, 6.jpg, 0.364845558, 0.562455492, 0.562455492, left, 1, 2, 3, 6.jpg, 7.jpg, 0.7507510000141338, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,0,
4, test, 1, vibration off, 33, 2, 4, 6.jpg, 8.jpg, 0.583546956, 0.469700007, 0.469700007, left, 1, 4, 2, 8.jpg, 6.jpg, 1.7121277999831364, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,1
4, test, 1, vibration off, 34, 3, 2, 7.jpg, 6.jpg, 0.411760625, 0.565200904, 0.565200904, left, 1, 2, 3, 6.jpg, 7.jpg, 1.4516388000920415, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,1
4, test, 1, vibration off, 35, 4, 3, 8.jpg, 7.jpg, 0.497188985, 0.404213812, 0.497188985, right, 2, 4, 3, 8.jpg, 7.jpg, 1.88774019991979, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,0,
4, test, 1, vibration off, 36, 4, 3, 8.jpg, 7.jpg, 0.476236411, 0.380656038, 0.380656038, left, 1, 3, 4, 7.jpg, 8.jpg, 0.4847043000627309, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,1
4, test, 1, vibration off, 37, 3, 2, 7.jpg, 6.jpg, 0.352549374, 0.545721743, 0.352549374, right, 2, 3, 2, 7.jpg, 6.jpg, 1.3670414000516757, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,0,
4, test, 1, vibration off, 38, 2, 1, 6.jpg, 5.jpg, 0.538071442, 0.631242143, 0.538071442, right, 2, 2, 1, 6.jpg, 5.jpg, 1.7156072000507265, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,1
4, test, 1, vibration off, 39, 3, 1, 7.jpg, 5.jpg, 0.341152187, 0.600609567, 0.341152187, right, 2, 3, 1, 7.jpg, 5.jpg, 1.9093190000858158, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,0,
4, test, 1, vibration off, 40, 4, 2, 8.jpg, 6.jpg, 0.519319672, 0.574174471, 0.574174471, left, 1, 2, 4, 6.jpg, 8.jpg, 1.7920249999733642, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,1
4, test, 1, vibration off, 41, 3, 4, 7.jpg, 8.jpg, 0.358175358, 0.531828439, 0.358175358, right, 2, 3, 4, 7.jpg, 8.jpg, 1.1358033999567851, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,0,
4, test, 1, vibration off, 42, 1, 2, 5.jpg, 6.jpg, 0.630195312, 0.582970551, 0.630195312, right, 2, 1, 2, 5.jpg, 6.jpg, 1.3868786999955773, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,1
4, test, 1, vibration off, 43, 3, 2, 7.jpg, 6.jpg, 0.357029746, 0.572586617, 0.572586617, left, 1, 2, 3, 6.jpg, 7.jpg, 0.9552866000449285, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,1
4, test, 1, vibration off, 44, 1, 3, 5.jpg, 7.jpg, 0.636994371, 0.384631609, 0.636994371, right, 2, 1, 3, 5.jpg, 7.jpg, 0.7393320000264794, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,1
4, test, 1, vibration off, 45, 1, 4, 5.jpg, 8.jpg, 0.650015763, 0.52618086, 0.650015763, right, 2, 1, 4, 5.jpg, 8.jpg, 0.9287941999500617, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,1
4, test, 1, vibration off, 46, 2, 1, 6.jpg, 5.jpg, 0.554193525, 0.626001871, 0.626001871, left, 1, 1, 2, 5.jpg, 6.jpg, 0.9203247000696138, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,1
4, test, 1, vibration off, 47, 2, 4, 6.jpg, 8.jpg, 0.585886385, 0.546233567, 0.546233567, left, 1, 4, 2, 8.jpg, 6.jpg, 1.9186068000271916, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,0,
4, test, 1, vibration off, 48, 3, 1, 7.jpg, 5.jpg, 0.322472207, 0.609756275, 0.609756275, left, 1, 1, 3, 5.jpg, 7.jpg, 1.5021685999818146, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,0,
4, test, 1, vibration off, 49, 2, 4, 6.jpg, 8.jpg, 0.595767883, 0.559135463, 0.559135463, left, 1, 4, 2, 8.jpg, 6.jpg, 1.5949656000593677, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,0,
4, test, 1, vibration off, 50, 1, 4, 5.jpg, 8.jpg, 0.585330427, 0.528689445, 0.528689445, left, 1, 4, 1, 8.jpg, 5.jpg, 3.976469499990344, 1, 0.585330427, 0.596690297, 0.304980312, 0.528689445,1
4, practice, 2, vibration during choice, 1, 2, 4, 10.jpg, 12.jpg, 0.615232533, 0.466504194, 0.466504194, left, 1, 4, 2, 12.jpg, 10.jpg, 0.8452271999558434, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
4, practice, 2, vibration during choice, 2, 4, 2, 12.jpg, 10.jpg, 0.47234587, 0.631199867, 0.47234587, right, 2, 4, 2, 12.jpg, 10.jpg, 0.6835179999470711, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
4, practice, 2, vibration during choice, 3, 3, 2, 11.jpg, 10.jpg, 0.374984468, 0.626315633, 0.374984468, right, 2, 3, 2, 11.jpg, 10.jpg, 1.216729799984023, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
4, practice, 2, vibration during choice, 4, 2, 1, 10.jpg, 9.jpg, 0.609226527, 0.498193315, 0.498193315, left, 1, 1, 2, 9.jpg, 10.jpg, 1.1310247998917475, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
4, practice, 2, vibration during choice, 5, 3, 4, 11.jpg, 12.jpg, 0.35386843, 0.463675252, 0.463675252, left, 1, 4, 3, 12.jpg, 11.jpg, 0.9842335999710485, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
4, test, 2, vibration during choice, 1, 3, 2, 11.jpg, 10.jpg, 0.413504079, 0.615232533, 0.413504079, right, 2, 3, 2, 11.jpg, 10.jpg, 1.0157808000221848, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
4, test, 2, vibration during choice, 2, 3, 2, 11.jpg, 10.jpg, 0.375335495, 0.631199867, 0.375335495, right, 2, 3, 2, 11.jpg, 10.jpg, 1.1272054000291973, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
4, test, 2, vibration during choice, 3, 4, 3, 12.jpg, 11.jpg, 0.491193418, 0.374984468, 0.374984468, left, 1, 3, 4, 11.jpg, 12.jpg, 1.5634544000495225, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
4, test, 2, vibration during choice, 4, 2, 3, 10.jpg, 11.jpg, 0.609226527, 0.371343772, 0.609226527, right, 2, 2, 3, 10.jpg, 11.jpg, 1.8970866999588907, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
4, test, 2, vibration during choice, 5, 3, 4, 11.jpg, 12.jpg, 0.35386843, 0.463675252, 0.463675252, left, 1, 4, 3, 12.jpg, 11.jpg, 1.101035900064744, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
4, test, 2, vibration during choice, 6, 3, 2, 11.jpg, 10.jpg, 0.353156918, 0.609411022, 0.609411022, left, 1, 2, 3, 10.jpg, 11.jpg, 1.9322840999811888, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,1
4, test, 2, vibration during choice, 7, 2, 1, 10.jpg, 9.jpg, 0.661106815, 0.498922937, 0.661106815, right, 2, 2, 1, 10.jpg, 9.jpg, 1.3797471000580117, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,1
4, test, 2, vibration during choice, 8, 4, 3, 12.jpg, 11.jpg, 0.445975487, 0.385479761, 0.445975487, right, 2, 4, 3, 12.jpg, 11.jpg, 1.5514633000129834, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,1
4, test, 2, vibration during choice, 9, 4, 3, 12.jpg, 11.jpg, 0.477824508, 0.38403906, 0.477824508, right, 2, 4, 3, 12.jpg, 11.jpg, 1.6826880000298843, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,1
4, test, 2, vibration during choice, 10, 4, 3, 12.jpg, 11.jpg, 0.494179332, 0.400369013, 0.400369013, left, 1, 3, 4, 11.jpg, 12.jpg, 1.0293230999959633, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,1
4, test, 2, vibration during choice, 11, 1, 2, 9.jpg, 10.jpg, 0.576408806, 0.627053837, 0.576408806, right, 2, 1, 2, 9.jpg, 10.jpg, 2.370832300046459, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,0,
4, test, 2, vibration during choice, 12, 2, 4, 10.jpg, 12.jpg, 0.6084257, 0.429884006, 0.429884006, left, 1, 4, 2, 12.jpg, 10.jpg, 2.475322399986908, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,1
4, test, 2, vibration during choice, 13, 1, 3, 9.jpg, 11.jpg, 0.578706679, 0.375355878, 0.578706679, right, 2, 1, 3, 9.jpg, 11.jpg, 1.7550259999698028, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,1
4, test, 2, vibration during choice, 14, 2, 4, 10.jpg, 12.jpg, 0.603047222, 0.453322749, 0.453322749, left, 1, 4, 2, 12.jpg, 10.jpg, 1.8416145999217406, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,0,
4, test, 2, vibration during choice, 15, 2, 4, 10.jpg, 12.jpg, 0.59667375, 0.449059956, 0.449059956, left, 1, 4, 2, 12.jpg, 10.jpg, 1.1940309000201523, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,0,
4, test, 2, vibration during choice, 16, 2, 4, 10.jpg, 12.jpg, 0.577589974, 0.445080478, 0.445080478, left, 1, 4, 2, 12.jpg, 10.jpg, 0.9152295999228954, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,0,
4, test, 2, vibration during choice, 17, 2, 4, 10.jpg, 12.jpg, 0.585694186, 0.422775713, 0.422775713, left, 1, 4, 2, 12.jpg, 10.jpg, 1.590769900009036, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
4, test, 2, vibration during choice, 18, 2, 4, 10.jpg, 12.jpg, 0.54789599, 0.418810463, 0.54789599, right, 2, 2, 4, 10.jpg, 12.jpg, 1.3956856000004336, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,1
4, test, 2, vibration during choice, 19, 4, 1, 12.jpg, 9.jpg, 0.404711898, 0.504573157, 0.504573157, left, 1, 1, 4, 9.jpg, 12.jpg, 3.8694772999733686, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,0,
4, test, 2, vibration during choice, 20, 4, 2, 12.jpg, 10.jpg, 0.429775493, 0.588279021, 0.429775493, right, 2, 4, 2, 12.jpg, 10.jpg, 2.074571199947968, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,1
4, test, 2, vibration during choice, 21, 2, 1, 10.jpg, 9.jpg, 0.553509108, 0.512951285, 0.512951285, left, 1, 1, 2, 9.jpg, 10.jpg, 2.8085855999961495, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,1
4, test, 2, vibration during choice, 22, 1, 3, 9.jpg, 11.jpg, 0.539572991, 0.364821817, 0.539572991, right, 2, 1, 3, 9.jpg, 11.jpg, 2.321157499914989, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,0,
4, test, 2, vibration during choice, 23, 4, 1, 12.jpg, 9.jpg, 0.376882621, 0.56095771, 0.376882621, right, 2, 4, 1, 12.jpg, 9.jpg, 1.6816941000288352, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,0,
4, test, 2, vibration during choice, 24, 1, 4, 9.jpg, 12.jpg, 0.575401102, 0.358107826, 0.575401102, right, 2, 1, 4, 9.jpg, 12.jpg, 3.339427699916996, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,0,
4, test, 2, vibration during choice, 25, 1, 2, 9.jpg, 10.jpg, 0.541014126, 0.532040408, 0.532040408, left, 1, 2, 1, 10.jpg, 9.jpg, 2.189755699946545, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,0,
4, test, 2, vibration during choice, 26, 4, 2, 12.jpg, 10.jpg, 0.398780507, 0.511692898, 0.398780507, right, 2, 4, 2, 12.jpg, 10.jpg, 2.5132471000542864, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,1
4, test, 2, vibration during choice, 27, 3, 1, 11.jpg, 9.jpg, 0.389383809, 0.541079589, 0.389383809, right, 2, 3, 1, 11.jpg, 9.jpg, 1.9300187999615446, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,0,
4, test, 2, vibration during choice, 28, 1, 2, 9.jpg, 10.jpg, 0.559641612, 0.570750529, 0.570750529, left, 1, 2, 1, 10.jpg, 9.jpg, 4.789248600020073, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,1
4, test, 2, vibration during choice, 29, 2, 4, 10.jpg, 12.jpg, 0.54476025, 0.398536524, 0.54476025, right, 2, 2, 4, 10.jpg, 12.jpg, 1.4945225999690592, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,1
4, test, 2, vibration during choice, 30, 1, 4, 9.jpg, 12.jpg, 0.562069061, 0.407780991, 0.407780991, left, 1, 4, 1, 12.jpg, 9.jpg, 2.23423439997714, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,0,
4, test, 2, vibration during choice, 31, 4, 1, 12.jpg, 9.jpg, 0.40633374, 0.557017169, 0.40633374, right, 2, 4, 1, 12.jpg, 9.jpg, 2.95813319995068, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,0,
4, test, 2, vibration during choice, 32, 3, 4, 11.jpg, 12.jpg, 0.364845558, 0.430319959, 0.430319959, left, 1, 4, 3, 12.jpg, 11.jpg, 1.9910849999869242, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,0,
4, test, 2, vibration during choice, 33, 3, 4, 11.jpg, 12.jpg, 0.38651511, 0.469700007, 0.38651511, right, 2, 3, 4, 11.jpg, 12.jpg, 0.9312755999853835, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,1
4, test, 2, vibration during choice, 34, 3, 4, 11.jpg, 12.jpg, 0.411760625, 0.45608609, 0.45608609, left, 1, 4, 3, 12.jpg, 11.jpg, 1.6410223999992013, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,1
4, test, 2, vibration during choice, 35, 2, 4, 10.jpg, 12.jpg, 0.567372701, 0.497188985, 0.567372701, right, 2, 2, 4, 10.jpg, 12.jpg, 1.4609273000387475, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,1
4, test, 2, vibration during choice, 36, 2, 1, 10.jpg, 9.jpg, 0.558903517, 0.614921267, 0.558903517, right, 2, 2, 1, 10.jpg, 9.jpg, 2.50635419995524, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,1
4, test, 2, vibration during choice, 37, 3, 1, 11.jpg, 9.jpg, 0.352549374, 0.628075493, 0.352549374, right, 2, 3, 1, 11.jpg, 9.jpg, 2.152883299975656, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,0,
4, test, 2, vibration during choice, 38, 1, 2, 9.jpg, 10.jpg, 0.631242143, 0.538071442, 0.631242143, right, 2, 1, 2, 9.jpg, 10.jpg, 3.973524799919687, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,1
4, test, 2, vibration during choice, 39, 4, 1, 12.jpg, 9.jpg, 0.525341883, 0.600609567, 0.600609567, left, 1, 1, 4, 9.jpg, 12.jpg, 4.74040339991916, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,1
4, test, 2, vibration during choice, 40, 1, 3, 9.jpg, 11.jpg, 0.598478627, 0.340254534, 0.598478627, right, 2, 1, 3, 9.jpg, 11.jpg, 1.7502670000540093, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,1
4, test, 2, vibration during choice, 41, 1, 4, 9.jpg, 12.jpg, 0.60144404, 0.531828439, 0.531828439, left, 1, 4, 1, 12.jpg, 9.jpg, 2.577246000058949, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,1
4, test, 2, vibration during choice, 42, 1, 4, 9.jpg, 12.jpg, 0.630195312, 0.522351056, 0.522351056, left, 1, 4, 1, 12.jpg, 9.jpg, 1.827187899965793, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,1
4, test, 2, vibration during choice, 43, 4, 1, 12.jpg, 9.jpg, 0.532129282, 0.628568645, 0.532129282, right, 2, 4, 1, 12.jpg, 9.jpg, 2.0695224000373855, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,0,
4, test, 2, vibration during choice, 44, 3, 1, 11.jpg, 9.jpg, 0.384631609, 0.636994371, 0.636994371, left, 1, 1, 3, 9.jpg, 11.jpg, 4.214579699910246, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,1
4, test, 2, vibration during choice, 45, 2, 4, 10.jpg, 12.jpg, 0.5781911, 0.52618086, 0.52618086, left, 1, 4, 2, 12.jpg, 10.jpg, 5.466106900013983, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,1
4, test, 2, vibration during choice, 46, 4, 2, 12.jpg, 10.jpg, 0.575008411, 0.554193525, 0.575008411, right, 2, 4, 2, 12.jpg, 10.jpg, 4.740955299930647, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,1
4, test, 2, vibration during choice, 47, 1, 2, 9.jpg, 10.jpg, 0.606772055, 0.585886385, 0.606772055, right, 2, 1, 2, 9.jpg, 10.jpg, 2.1588482999941334, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,0,
4, test, 2, vibration during choice, 48, 1, 4, 9.jpg, 12.jpg, 0.609756275, 0.544792119, 0.544792119, left, 1, 4, 1, 12.jpg, 9.jpg, 1.7259092000313103, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,0,
4, test, 2, vibration during choice, 49, 2, 1, 10.jpg, 9.jpg, 0.595767883, 0.606158462, 0.606158462, left, 1, 1, 2, 9.jpg, 10.jpg, 1.3268320999341086, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,1
4, test, 2, vibration during choice, 50, 2, 4, 10.jpg, 12.jpg, 0.596690297, 0.528689445, 0.596690297, right, 2, 2, 4, 10.jpg, 12.jpg, 5.203846400021575, 1, 0.585330427, 0.596690297, 0.304980312, 0.528689445,0,
