subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
62, practice,1, vibration during choice,1,3,1, 3.jpg, 1.jpg,0.584847675,0.167787674,0.584847675, right,2,3,1, 3.jpg, 1.jpg,1.1295817,2,0.167787674,0.332201416,0.584847675,0.302670058,0
62, practice,1, vibration during choice,2,2,4, 2.jpg, 4.jpg,0.355471562,0.290755999,0.290755999, left,1,4,2, 4.jpg, 2.jpg,0.4059417,2,0.176264347,0.355471562,0.582595424,0.290755999,0
62, practice,1, vibration during choice,3,2,1, 2.jpg, 1.jpg,0.3490424,0.206677553,0.3490424, right,2,2,1, 2.jpg, 1.jpg,0.7115324,2,0.206677553,0.3490424,0.578794293,0.275426328,0
62, practice,1, vibration during choice,4,3,1, 3.jpg, 1.jpg,0.569745321,0.216551625,0.216551625, left,1,1,3, 1.jpg, 3.jpg,0.3914325,2,0.216551625,0.358181966,0.569745321,0.268568422,0
62, practice,1, vibration during choice,5,1,2, 1.jpg, 2.jpg,0.21991786,0.364707579,0.21991786, right,2,1,2, 1.jpg, 2.jpg,0.4275712,2,0.21991786,0.364707579,0.582527891,0.302042001,1
62, test,1, vibration during choice,1,2,1, 2.jpg, 1.jpg,0.332201416,0.167787674,0.167787674, left,1,1,2, 1.jpg, 2.jpg,0.5437167,2,0.167787674,0.332201416,0.584847675,0.302670058,0
62, test,1, vibration during choice,2,4,3, 4.jpg, 3.jpg,0.290755999,0.582595424,0.290755999, right,2,4,3, 4.jpg, 3.jpg,2.0834875,2,0.176264347,0.355471562,0.582595424,0.290755999,0
62, test,1, vibration during choice,3,2,1, 2.jpg, 1.jpg,0.3490424,0.206677553,0.206677553, left,1,1,2, 1.jpg, 2.jpg,0.5069942,2,0.206677553,0.3490424,0.578794293,0.275426328,0
62, test,1, vibration during choice,4,4,3, 4.jpg, 3.jpg,0.268568422,0.569745321,0.268568422, right,2,4,3, 4.jpg, 3.jpg,0.3628825,2,0.216551625,0.358181966,0.569745321,0.268568422,1
62, test,1, vibration during choice,5,2,1, 2.jpg, 1.jpg,0.364707579,0.21991786,0.364707579, right,2,2,1, 2.jpg, 1.jpg,0.4030261,2,0.21991786,0.364707579,0.582527891,0.302042001,0
